address,price,movein_t,movein_d,bedrooms
2057 University Ave,1010.0,1412924400.0,2014-10-10,1
2057 University Ave,1015.0,1408172400.0,2014-08-16,1
2057 University Ave,1095.0,1439362800.0,2015-08-12,1
2057 University Ave,1117.0,1404111600.0,2014-06-30,1
2057 University Ave,853.0,1398150000.0,2014-04-22,1
2057 University Ave,853.0,1388822400.0,2014-01-04,1
2057 University Ave,908.0,1407394800.0,2014-08-07,1
2057 University Ave,903.0,1401001200.0,2014-05-25,1
2057 University Ave,914.0,1393833600.0,2014-03-03,1
2057 University Ave,914.0,1413615600.0,2014-10-18,1
2057 University Ave,939.0,1395990000.0,2014-03-28,1
2057 University Ave,939.0,1401001200.0,2014-05-25,1
2057 University Ave,964.0,1408604400.0,2014-08-21,1
2057 University Ave,964.0,1410073200.0,2014-09-07,1
2057 University Ave,990.0,1394265600.0,2014-03-08,1
2057 University Ave,964.0,1409468400.0,2014-08-31,1
2057 University Ave,964.0,1408604400.0,2014-08-21,1
2057 University Ave,964.0,1409554800.0,2014-09-01,1
2057 University Ave,964.0,1406876400.0,2014-08-01,1
2057 University Ave,1010.0,1412319600.0,2014-10-03,1
2057 University Ave,1010.0,1412319600.0,2014-10-03,1
2057 University Ave,1010.0,1411801200.0,2014-09-27,1
2057 University Ave,1010.0,1413615600.0,2014-10-18,1
2057 University Ave,1010.0,1410246000.0,2014-09-09,1
1945 Berkeley Way,1650.0,1438412400.0,2015-08-01,1
1945 Berkeley Way,1700.0,1436598000.0,2015-07-11,1
1945 Berkeley Way,1725.0,1435734000.0,2015-07-01,1
1945 Berkeley Way,1650.0,1437894000.0,2015-07-26,2
1945 Berkeley Way,1600.0,1452931200.0,2016-01-16,1
1945 Berkeley Way,1600.0,1427353200.0,2015-03-26,1
1945 Berkeley Way,1650.0,1436943600.0,2015-07-15,1
1945 Berkeley Way,1650.0,1435906800.0,2015-07-03,1
1945 Berkeley Way,1979.0,1400310000.0,2014-05-17,2
1945 Berkeley Way,2005.0,1409900400.0,2014-09-05,2
1945 Berkeley Way,1421.0,1400914800.0,2014-05-24,1
1945 Berkeley Way,1421.0,1405839600.0,2014-07-20,1
1945 Berkeley Way,1446.0,1389513600.0,2014-01-12,1
1945 Berkeley Way,1421.0,1406876400.0,2014-08-01,1
1945 Berkeley Way,1472.0,1404975600.0,2014-07-10,1
1945 Berkeley Way,1450.0,1436338800.0,2015-07-08,1
1945 Berkeley Way,1500.0,1433919600.0,2015-06-10,1
1945 Berkeley Way,1472.0,1401606000.0,2014-06-01,1
1945 Berkeley Way,1523.0,1405407600.0,2014-07-15,1
1945 Berkeley Way,1500.0,1420099200.0,2015-01-01,1
1945 Berkeley Way,1550.0,1421740800.0,2015-01-20,1
1945 Berkeley Way,1525.0,1434351600.0,2015-06-15,1
1945 Berkeley Way,1523.0,1412406000.0,2014-10-04,1
1945 Berkeley Way,1550.0,1447747200.0,2015-11-17,1
1945 Berkeley Way,1550.0,1423555200.0,2015-02-10,1
1945 Berkeley Way,1550.0,1452240000.0,2016-01-08,1
1945 Berkeley Way,1550.0,1433314800.0,2015-06-03,1
1945 Berkeley Way,1550.0,1433142000.0,2015-06-01,1
1945 Berkeley Way,1600.0,1454832000.0,2016-02-07,1
1945 Berkeley Way,1573.0,1407222000.0,2014-08-05,1
1945 Berkeley Way,2200.0,1425196800.0,2015-03-01,2
1945 Berkeley Way,2177.0,1405407600.0,2014-07-15,2
1945 Berkeley Way,2300.0,1438412400.0,2015-08-01,2
1913 Berkeley Way,3300.0,1433142000.0,2015-06-01,2
1913 Berkeley Way,2150.0,1433142000.0,2015-06-01,1
1913 Berkeley Way,3500.0,1433142000.0,2015-06-01,2
1912 Milvia St,1650.0,1438412400.0,2015-08-01,1
1912 Milvia St,1700.0,1436598000.0,2015-07-11,1
1912 Milvia St,1725.0,1435734000.0,2015-07-01,1
1912 Milvia St,1650.0,1437894000.0,2015-07-26,2
1912 Milvia St,1600.0,1452931200.0,2016-01-16,1
1912 Milvia St,1600.0,1427353200.0,2015-03-26,1
1912 Milvia St,1650.0,1436943600.0,2015-07-15,1
1912 Milvia St,1650.0,1435906800.0,2015-07-03,1
1912 Milvia St,1979.0,1400310000.0,2014-05-17,2
1912 Milvia St,2005.0,1409900400.0,2014-09-05,2
1912 Milvia St,1421.0,1400914800.0,2014-05-24,1
