address,avg_ppr
2724 Channing Way,1583.7307692307693
2728 Channing Way,967.4736842105264
52 Panoramic Way,2500.0
54 Panoramic Way,2800.0
2421 Durant Ave,1303.2
2709 Channing Way,1492.3
2717 Channing Way,1522.578947368421
2815 Channing Way,898.3333333333334
2525 Durant Ave,1749.5
2533 Durant Ave,2281.25
2539 Durant Ave,1740.5357142857142
2336 Piedmont Ave,646.0
2330 Warring St,1190.6666666666667
2901 Channing Way,1177.8
2399 Prospect St,1691.3333333333333
36 Panoramic Way,1150.0
2605 Durant Ave,687.5
2701 Durant Ave,1117.1764705882354
2811 Channing Way,1314.5833333333333
66 Panoramic Way,1319.5
64 Panoramic Way,1636.75
2510 Bancroft Way,2180.7
2639 Durant Ave,1342.857142857143
2420 Dwight Way,1613.5714285714287
2510 Regent St,1269.7222222222222
2500 Durant Ave,2116.785714285714
2735 Durant Ave,2600.0
2308 Warring St,1648.125
2310 Piedmont Ave,1431.125
2468 Bancroft Way,1672.5
2425 Durant Ave,1303.2
2402 Dana St,1349.1666666666665
2233 Channing Way,1921.5714285714287
2417 Ellsworth St,1832.0
2214 Durant Ave,1487.0
2431 College Ave,1213.5
2214 Channing Way,1200.0
2725 Haste St,1540.8076923076924
2418 Atherton St,1381.0
2119 Addison St,1270.8
2124 Kittredge St,744.3333333333334
2412 Fulton St,1751.0
2137 Haste St,1397.5
15 Canyon Rd,891.8333333333333
2426 Fulton St,1361.111111111111
2024 University Ave,1575.8333333333333
76 Arden Rd,1523.0
152 Panoramic Way,1218.0
1900 University Ave,1547.25
340 Panoramic Way,1583.3333333333333
2206 McKinley Ave,863.0
1835 University Ave,1657.6666666666667
2124 McKinley Ave,1488.0
2210 McKinley Ave,1450.0
1823 University Ave,1657.6666666666667
1815 Addison St,1392.3333333333333
1819 Addison St,1075.0
1820 Berkeley Way,2200.0
1811 Addison St,975.0
1808 Addison St,1421.0
2133 Grant St,1792.625
2215 Grant St,1704.0
2405 McKinley Ave,890.0
1820 Hearst Ave,2000.0
1810 Berkeley Way,1008.625
1807 Addison St,1555.5555555555557
2115 Grant St,1500.0
2231 Grant St,1738.0
2103 Grant St,1507.3333333333333
2139 Grant St,1792.625
2315 Grant St,1753.0
2233 Grant St,1738.0
2319 Grant St,1629.6666666666667
2120 Grant St,1654.4166666666667
2224 Grant St,1497.0
1922 Grant St,680.0
1908 Grant St,1407.3333333333333
1743 Berkeley Way,1407.3333333333333
1759 Berkeley Way,1407.3333333333333
1920 Grant St,918.0
2330 Grant St,2350.0
2340 Grant St,1200.0
1733 Bancroft Way,1345.0
2313 Roosevelt Ave,1303.25
2319 Roosevelt Ave,2150.0
1810 Bonita Ave,967.5
2037 Hearst Ave,1370.25
1806 Bonita Ave,1700.0
2015 Hearst Ave,1537.6
2025 Hearst Ave,2450.0
2029 Hearst Ave,1600.0
2125 Hearst Ave,2045.4
1905 Delaware St,787.0
2030 Delaware St,1250.625
2119 Hearst Ave,1620.2
2131 Hearst Ave,1923.0
2225 Hearst Ave,1232.142857142857
2235 Hearst Ave,1212.6666666666667
1742 MLK Jr Way,1100.0
1917 Delaware St,1074.5
1925 Delaware St,925.5
1933 Delaware St,1177.25
2032 Delaware St,1250.625
2255 Hearst Ave,1437.1764705882354
2267 Hearst Ave,1923.875
2283 Hearst Ave,1289.2105263157894
1741 MLK Jr Way,1099.6666666666667
1921 Delaware St,1133.3333333333333
1929 Delaware St,1149.2222222222222
2017 Delaware St,1105.3333333333333
2120 Delaware St,1556.6666666666667
1806 Walnut St,1760.8333333333333
1818 Walnut St,2180.0
1846 Spruce St,1687.5
1910 Francisco St,1624.0
2019 Delaware St,1243.5
2083 Delaware St,1770.2
1817 Oxford St,1858.111111111111
1820 Spruce St,1771.0
1827 Spruce St,2284.0
1809 Spruce St,2284.0
1876 Arch St,1649.5
2317 Hearst Ave,1587.0
1920 Francisco St,1670.3666666666666
2018 Francisco St,944.8333333333334
1798 Walnut St,2050.0
1793 Oxford St,2614.0
1800 Spruce St,1846.25
1815 Spruce St,2146.4
1829 Spruce St,2284.0
1799 Spruce St,2284.0
1862 Arch St,1593.9285714285713
2340 Le Conte Ave,1508.0625
1721 MLK Jr Way,1133.3333333333333
1717 MLK Jr Way,1133.3333333333333
1786 Spruce St,1930.92
1795 Spruce St,2284.0
1850 Arch St,1693.125
1710 MLK Jr Way,1600.0
1711 MLK Jr Way,1353.75
1921 Francisco St,1264.8333333333333
1725 Shattuck Ave,1495.8125
1760 Walnut St,1553.1875
1773 Oxford St,1437.5
1783 Spruce St,2470.0
1785 Spruce St,2030.0
1793 Spruce St,2284.0
1820 Euclid Ave,1523.0
2511 Hearst Ave,1534.3333333333333
1922 Virginia St,1934.2857142857142
2021 Francisco St,1100.0
1750 Walnut St,1167.5
1765 Oxford St,1789.142857142857
2508 Ridge Rd,1890.0
2520 Ridge Rd,2082.5
1708 Milvia St,1523.5
2025 Francisco St,1090.8333333333333
1709 Shattuck Ave,1884.3125
1749 Oxford St,1445.7272727272727
1742 Spruce St,1370.5
2516 Ridge Rd,2082.5
1903 Virginia St,848.5555555555555
2014 Virginia St,1408.5
2022 Virginia St,1541.3
1728 Walnut St,1350.0
1739 Oxford St,1320.0
1738 Spruce St,1975.7222222222224
1799 Euclid Ave,1434.7142857142858
1649 MLK Jr Way,1230.0
2112 Virginia St,2050.0
1725 Oxford St,1429.111111111111
1734 Spruce St,1139.0
1731 Spruce St,1472.0
2523 Ridge Rd,1690.764705882353
2531 Ridge Rd,1282.0
2615 Ridge Rd,1925.0
1635 MLK Jr Way,1201.2857142857142
1700 Walnut St,1099.6666666666667
1717 Oxford St,1805.0
1720 Spruce St,2316.6666666666665
1730 Spruce St,1129.0
1777 Le Roy Ave,1800.0
1770 La Loma Ave,406.0
2701 Ridge Rd,1670.9444444444443
2703 Ridge Rd,1929.0
1771 Highland Pl,1565.125
2143 Virginia St,2800.0
1700 Spruce St,1439.6
1715 Spruce St,1874.5
2552 Le Conte Ave,1529.25
2572 Le Conte Ave,1624.0
2705 Ridge Rd,1818.1818181818182
1735 Highland Pl,1494.2692307692307
1622 MLK Jr Way,1200.0
1634 Milvia St,1033.3333333333333
1694 Oxford St,2030.0
2451 Le Conte Ave,1638.6666666666667
2525 Le Conte Ave,2213.214285714286
1622 Milvia St,1319.5
2541 Le Conte Ave,2035.7857142857142
1615 MLK Jr Way,1871.2857142857142
1618 Milvia St,961.6111111111112
2005 Lincoln St,1420.3333333333333
2013 Lincoln St,1183.5
1629 Walnut St,1781.25
1631 Walnut St,1596.0
1669 Oxford St,1780.0
2420 Virginia St,1410.0833333333333
2472 Virginia St,2520.625
1708 Euclid Ave,1583.25
2559 Le Conte Ave,2035.7857142857142
2575 Le Conte Ave,2509.0
1609 Bonita Ave,1421.0
1607 Milvia St,1296.6666666666667
2393 Virginia St,1442.2
2020 Cedar St,1255.3333333333333
1619 Walnut St,1294.0
1650 Oxford St,1558.2
1684 Scenic Ave,1442.2
2477 Virginia St,1765.2083333333333
2505 Virginia St,2175.8571428571427
2030 Cedar St,1236.5
1612 Walnut St,1495.25
1634 Oxford St,1639.4074074074074
2340 Hilgard Ave,1758.125
2380 Hilgard Ave,1320.0
1685 Euclid Ave,1875.0
2517 Virginia St,1827.0
2555 Virginia St,1457.3076923076924
1607 Walnut St,1725.5
2422 Hilgard Ave,2000.0
2444 Hilgard Ave,2193.5
2456 Hilgard Ave,1507.3333333333333
1675 Euclid Ave,1318.0
2663 Virginia St,1091.0
1588 Henry St,1447.25
2109 Cedar St,2199.8
2355 Hilgard Ave,1864.375
2466 Hilgard Ave,1498.25
2522 Hilgard Ave,966.6666666666666
2669 Virginia St,1091.0
2705 Virginia St,1269.0
1538 Henry St,1646.25
1550 Walnut St,2000.8333333333337
2135 Cedar St,3977.6
2143 Cedar St,1254.0
2339 Hilgard Ave,1001.3333333333334
