,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room
97,48th at Telegraph,2,3,37.834926,-122.26358,1000,933
98,574 48th St at Shattuck,1,2,37.835451,-122.265005,1113,1600
99,1585 Brunswig Lane,0,2,37.835615,-122.292337,1434,1900
100,1585 Brunswig lane,0,2,37.835683,-122.292852,0,1900
101,0 0,0,3,37.8361,-122.2637,0,831
102,41st street at market,0,1,37.8365,-122.2804,0,1850
103,5 Admiral Way,1,1,37.837368,-122.302504,667,2095
104,6 Admiral Drive,1,1,37.837369,-122.302505,650,1999
105,5115 Shattuck Ave,1,2,37.837659,-122.264695,890,1400
106,4 Anchor Drive,1,1,37.837954,-122.307379,851,2395
107,833 - 54th Street at Martin Luther King,1,2,37.83853,-122.272661,900,1487
108,833 - 54th Street at Martin Luther King,1,2,37.838581,-122.272789,900,1487
109,Christie Avenue,1,1,37.838626,-122.29478,768,2100
110,833 - 54th Street at Martin Luther King,1,2,37.838649,-122.272382,900,1487
111,5540 Doyle Street,0,1,37.838988,-122.286994,1050,3375
112,1333 Powell Street,1,1,37.839335,-122.288969,765,3257
113,1333 Powell Street,1,1,37.839352,-122.288958,734,2910
114,1333 Powell Street,1,1,37.83936,-122.288947,734,2875
115,6363 Christie Avenue,2,2,37.839826,-122.29488,1144,2000
116,3310 Powell St,0,1,37.840292,-122.314568,0,1500
117,57th Street at Gaskill,0,2,37.840869,-122.279549,0,1150
118,1039 57th St at Gaskill St.,1,2,37.840909,-122.280442,1000,1125
119,Aileen at Market,1,2,37.841038,-122.274013,1000,1650
120,6350 Christie Avenue,1,1,37.841061,-122.295086,643,2990
121,5838 San Pablo Ave.,1,2,37.841491,-122.282937,1000,1300
122,5838 San Pablo Ave.,1,2,37.841541,-122.28289,1000,1300
123,los angeles street at arlington,1,3,37.841826,-122.27898,1100,816
124,5630 Shattuck,1,1,37.841963,-122.265242,700,2000
125,Christie Ave.,2,2,37.841978,-122.296801,1369,1990
126,59th at San Pablo Avenue,1,1,37.842106,-122.282842,1000,3500
127,Locksley at Hudson,0,2,37.842126,-122.25578,0,2250
128,Shattuck ave at Aileen,1,2,37.842226,-122.26528,900,1200
129,59th st at Marshall st,1,1,37.842426,-122.28488,550,1250
130,Stanford Avenue at Linden Street,1,1,37.842902,-122.277231,700,2200
131,Stanford Avenue at Lowell Street,1,1,37.842944,-122.277242,1100,2850
132,Grace Avenue at Lowell Street,1,1,37.843026,-122.27708,1000,2700
133,974- 60th Street at Lowell,1,2,37.843885,-122.27809,900,1137
134,6400 Christie Ave,1,1,37.844026,-122.29558,745,2350
135,Swainland at Ruthland,1,1,37.844054,-122.217472,750,2200
136,59th St at Adeline,1,2,37.844126,-122.27388,700,987
137,5900 Martin Luther King Jr. Way,1,2,37.844393,-122.270343,700,1200
138,"1158 - 63rd Street, at San Pablo Avenue",1,2,37.845105,-122.286415,800,750
139,792 60th Street at Martin Luther King,1,2,37.845359,-122.270472,880,1475
140,1130 65th street Unit G at hollis,0,3,37.845444,-122.287102,1700,1199
141,"1011 62nd street, B",1,2,37.845681,-122.280707,700,1097
142,1027 62nd St. at San Pablo Ave. and Sacramentl St.,2,2,37.845805,-122.280896,1340,1800
143,Ocean Ave at Hollis,2,3,37.845833,-122.290235,1710,1400
144,0 0,0,2,37.84585,-122.262039,0,900
145,6466 Hollis Street,0,2,37.846026,-122.29153,1300,1600
146,Russell St,1,3,37.846121,-122.271309,1000,966
147,1608 62nd St,0,0,37.846143,-122.275032,0,1050
148,1610 62nd St,0,0,37.846164,-122.274861,0,2814
149,6019 Shattuck Ave,1,2,37.846236,-122.265717,600,1000
150,1630 62nd St,0,0,37.846278,-122.27401,0,1802
151,690 61st Street,1,2,37.846542,-122.268727,640,1247
152,1611 62nd St,0,0,37.846687,-122.275004,0,1015
153,1643 62nd St,0,0,37.846787,-122.273625,0,1421
154,5838 Birch Ct,0,2,37.846825,-122.250495,0,1500
155,62nd Street at King Street,2,3,37.846826,-122.27378,2100,1400
156,1804 62nd St,0,0,37.846844,-122.270803,0,1865
157,1645 62nd St,0,0,37.846866,-122.27365,0,1421
158,1130 65th street at hollis,0,3,37.84707,-122.287617,1850,1198
159,3380 Adeline St,0,0,37.847083,-122.27263,0,1764
160,3337 King St,0,0,37.8472,-122.272971,0,2100
161,1330 Alcatraz Ave,0,0,37.84737,-122.279847,0,1000
162,1332 Alcatraz Ave,0,0,37.8474,-122.279695,0,1750
163,1704 63rd at King,1,2,37.847494,-122.272901,750,1197
164,6114 Shattuck Ave,0,2,37.84754,-122.265985,0,1125
165,1411 Alcatraz Ave,0,0,37.847606,-122.278718,0,1785
166,1528 Alcatraz Ave,0,0,37.847687,-122.276261,0,2500
167,1704 63rd at King,1,2,37.847697,-122.273176,750,1197
168,3302 California St,0,0,37.847873,-122.275935,0,1012
169,1840 63rd St,0,0,37.847895,-122.269425,0,3050
170,1842 63rd St,0,0,37.847905,-122.2693,0,3050
171,1130 65th Street,0,3,37.847911,-122.286403,1850,1199
172,1530 Alcatraz Ave,0,0,37.847955,-122.276342,0,2500
173,1413 Alcatraz Ave,0,0,37.848025,-122.27896,0,1785
174,1628 Alcatraz Ave,0,0,37.848082,-122.274409,0,1421
175,1833 63rd at Dover,1,2,37.848223,-122.269914,650,1300
176,1730 Alcatraz Ave,0,0,37.848228,-122.272607,0,2065
177,1833 63rd at Dover,1,2,37.848239,-122.270064,650,1300
178,1833 63rd at Dover,1,2,37.848256,-122.26985,650,1300
179,1517 Alcatraz Ave,0,0,37.848271,-122.277108,0,1300
180,1833 63rd at Dover,1,2,37.84829,-122.270021,650,1300
181,1833 63rd St at Dover,1,2,37.848307,-122.26985,650,1300
182,1525 Alcatraz Ave,0,0,37.848315,-122.276769,0,2321
183,1734 Alcatraz Ave,0,0,37.848322,-122.272475,0,2065
184,1529 Alcatraz Ave,0,0,37.848336,-122.276599,0,1544
185,1736 Alcatraz Ave,0,0,37.848423,-122.272452,0,2065
186,0 0,1,3,37.848561,-122.164813,1500,1658
187,1623 Alcatraz Ave,0,0,37.848591,-122.274679,0,2007
188,1510 Harmon St,0,0,37.848608,-122.277526,0,2550
189,1830 Alcatraz Ave,0,0,37.848609,-122.270359,0,2200
190,3237 California St,0,0,37.848612,-122.275625,0,2132
191,1631 Alcatraz Ave,0,0,37.848616,-122.274504,0,1950
192,1727 Alcatraz Ave,0,0,37.84867,-122.272904,0,2312
193,1818 Alcatraz Ave,0,0,37.848697,-122.270697,0,1117
194,3244 Ellis St,0,0,37.848709,-122.27279,0,2312
195,1534 Harmon St,0,0,37.84874,-122.276488,0,1754
196,1896 Alcatraz Ave,0,0,37.848763,-122.269334,0,1031
197,1898 Alcatraz Ave,0,0,37.848778,-122.269203,0,975
198,1832 Alcatraz Ave,0,0,37.848786,-122.270411,0,2200
199,1536 Harmon St,0,0,37.848808,-122.27633,0,1923
200,1612 Harmon St,0,0,37.848874,-122.275423,0,2081
201,1614 Harmon St,0,0,37.848896,-122.275262,0,1814
202,1620 Harmon St,0,0,37.848929,-122.274997,0,700
