latitude,longitude,avg_rating,#cafes,#pubs
37.48990515,-121.929339,3.725,5,0
37.5410387,-121.973263311464,3.925,0,0
37.554347449999995,-122.0175841,4.05,1,0
37.5878915,-122.0203706,3.775,1,1
37.6137072,-122.0879698,3.975,1,1
37.62922025,-122.42408215,3.65,1,2
37.63899715,-122.05365195,3.875,2,0
37.69767005,-122.12251208877049,3.975,0,1
37.69908675,-122.12678869999999,3.9,0,1
37.72035185,-122.15699995,3.5,4,0
37.760800399999994,-122.2508397,3.9,3,1
37.760800399999994,-122.2508397,3.9,3,1
37.762174679404055,-122.248140320427,3.975,2,0
37.760764800000004,-122.16807155000001,4.075,4,1
37.769199400000005,-122.2729134,3.875,3,1
37.7680595,-122.1961163,4.25,1,0
37.769199400000005,-122.26571835,3.875,3,2
37.77227405,-122.16161925,4.075,5,0
37.77227405,-122.1609717,4.025,5,0
37.77499605,-122.27521680000001,3.75,3,1
37.7776181,-122.25456817961299,4.05,3,1
37.7776181,-122.25456817961299,4.05,3,1
37.783831500000005,-122.26628526189,4.025,1,0
37.783831500000005,-122.26628526189,4.025,1,0
37.783967700000005,-122.26628526189,4.05,1,1
37.783967700000005,-122.26628526189,4.075,1,1
37.78740315,-122.19334665,3.775,2,0
37.79028751383915,-122.190213848948,3.675,2,0
37.79208445,-122.2325083923475,4.15,1,0
37.79241265,-122.1999064,3.875,3,0
37.79254815,-122.2347011923475,4.2,3,0
37.79936265,-122.2526285,4.1,6,0
37.80251340021999,-122.21095220000001,4.025,4,1
37.802434000000005,-122.24832950000001,4.025,5,0
37.802434000000005,-122.24832950000001,4.025,5,0
37.801759617298046,-122.274013,4.1,2,1
37.804525637112846,-122.21342,3.925,4,1
37.801759617298046,-122.274013,4.1,2,1
37.80151496470785,-122.27539455,4.1,2,1
37.803613,-122.2410471,4.05,4,0
37.8044355,-122.26244754999999,4.225,3,0
37.8038691,-122.26307324999999,4.275,3,0
37.8049056,-122.2755287018525,4.125,2,1
37.8081563815392,-122.2833213910155,4.175,2,0
37.80844165,-122.2867869,4.125,2,1
37.80609908711285,-122.21727910000001,3.775,2,1
37.80866135,-122.268301510265,4.125,1,0
37.8113254,-122.25923445,4.15,1,0
37.8113254,-122.25923445,4.15,1,0
37.81253675,-122.2565366632295,4.125,1,0
37.8098429,-122.29008479999999,4.125,2,2
37.81253675,-122.256681375525,4.125,1,0
37.8114561,-122.25058501821451,4.05,2,0
37.812682699999996,-122.25601455,4.125,1,0
37.81253675,-122.2569484632295,4.125,1,0
37.812682699999996,-122.25601455,4.125,1,0
37.812682699999996,-122.25601455,4.125,1,0
37.811589852702454,-122.2646277018525,4.1,2,0
37.812682699999996,-122.25601455,4.125,1,0
37.81253675,-122.26078080542,4.15,2,0
37.809962299999995,-122.29008479999999,4.1,1,2
37.812682699999996,-122.252609,4.125,1,0
37.812266750000006,-122.2449661,3.875,1,0
37.813243666542505,-122.268560360265,4.075,4,1
37.812995650000005,-122.24520620000001,3.95,2,0
37.8159816,-122.26221510542,4.125,3,1
37.8159816,-122.26221510542,4.1,4,1
37.816944,-122.255302,4.225,1,0
37.817152899999996,-122.2797947,4.175,3,0
37.8173483600276,-122.25342954999999,4.225,1,0
37.8173483600276,-122.255302,4.2,1,0
37.816622249999995,-122.270768,4.075,4,1
37.818497,-122.2609575004995,4.15,2,1
37.822205350000004,-122.25342954999999,4.125,0,0
37.82170495,-122.251847,4.15,0,0
37.8238545,-122.2845851,4.1,2,1
37.82643825,-122.2525985,4.05,0,0
37.827386168202196,-122.2512600080805,4.075,1,0
37.8266764874747,-122.254616273775,4.05,1,0
37.82538805,-122.2708469,4.05,2,1
37.82640292814915,-122.26919105,4.075,2,1
37.82787375,-122.2756666,4.025,2,0
37.828277261606644,-122.26919105,4.05,1,0
37.835031729233904,-122.231547,4.05,2,1
37.8297350539733,-122.2834265373765,3.95,4,0
37.82917185,-122.2834265373765,4.0,4,0
37.83068715942035,-122.27821715,4.1,4,0
37.83251625,-122.285573946008,3.95,4,0
37.83068715942035,-122.27821715,4.1,4,0
37.8292595,-122.2708469,4.0,1,0
37.83068715942035,-122.27821715,4.1,4,0
37.8315124,-122.2521795029975,4.025,3,0
37.81520125,-121.92014515,3.5,2,1
37.832137849999995,-122.276776993843,4.05,3,1
37.83323795942035,-122.27245335,4.075,1,0
37.8319869600276,-122.253301677085,4.05,2,0
37.83575945,-122.275132157106,4.025,3,0
37.83407826538985,-122.26500849937,4.125,0,0
37.83425120942035,-122.266133675595,4.125,0,0
37.835317950000004,-122.29111975000001,3.825,3,1
37.835317950000004,-122.29111975000001,3.775,3,0
37.83421805942035,-122.26552852559499,4.125,0,0
37.83698085,-122.2799561362305,4.025,3,1
37.8374175,-122.30178415775299,3.725,3,0
37.8374175,-122.30178415775299,3.725,3,0
37.83572520942035,-122.266133675595,4.075,0,0
37.8374175,-122.30196611391,3.625,3,0
37.83825357179475,-122.27200525,4.15,1,0
37.83825357179475,-122.272014739375,4.125,1,0
37.8385163,-122.29462645,3.85,5,1
37.83825357179475,-122.27200525,4.15,1,0
37.8381915,-122.28716815,3.9,3,1
37.8404334,-122.2877287,3.9,4,1
37.8404334,-122.2877287,3.9,4,1
37.8404334,-122.2877287,3.9,4,1
37.8385163,-122.29462645,3.85,5,1
37.8374175,-122.3024267362305,3.575,5,0
37.839844271794746,-122.2800312,4.025,5,1
