,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,latitude,longitude,avg_rating,#cafes,#pubs
578,Russell St.,1,2,37.857948,-122.258048,900,1550,0.979,37.8588839,-122.2597247,4,2,0
579,2321 Russell St,0,0,37.857997,-122.260716,0,1462,0.975,37.8588839,-122.2608665,4.025,2,0
580,1437 Ward St,0,0,37.857998,-122.280637,0,2100,1.512,37.85692172,-122.2807714,4.125,6,1
581,2012 Stuart St,0,0,37.858009,-122.268738,0,2233,1.096,37.85959675,-122.2693274,4,3,0
582,2149 Oregon St,0,0,37.858086,-122.264759,0,1750,1.009,37.85916185,-122.26202,4.05,4,0
583,0 0,1,1,37.858126,-122.240379,400,1675,1.421,37.85138868,-122.2469577,4.025,1,1
584,2813 Shattuck Ave,0,0,37.858179,-122.266644,0,1015,1.037,37.85959675,-122.264459,4.025,3,0
585,2151 Oregon St,0,0,37.858184,-122.26461,0,1750,1,37.85916185,-122.26202,4.05,4,0
586,260 Caldecott Lane,1,1,37.858202,-122.220991,728,2250,2.312,37.8469193,-122.2327692,4.125,2,0
587,2737 Grant St,0,0,37.858218,-122.272945,0,2294,1.208,37.85824919,-122.2732539,4.075,4,0
588,2736 Grant St,0,0,37.858248,-122.273575,0,1463,1.228,37.85824919,-122.2732539,4.1,4,0
589,2924 Claremont Ave,0,0,37.858265,-122.245456,0,1827,1.224,37.85658025,-122.2518367,4,2,0
590,2722 Russell St,0,0,37.858271,-122.252095,0,2220,1.036,37.85814856,-122.2523767,4,2,0
591,2807 Shattuck Ave,0,0,37.858302,-122.266537,0,2204,1.027,37.85989569,-122.264459,4.05,3,0
592,2108 Stuart St,0,0,37.858353,-122.266229,0,1517,1.018,37.85989569,-122.264459,4.05,3,0
593,1927 Stuart St,0,0,37.858362,-122.270256,0,1523,1.116,37.85824919,-122.2693274,4.025,2,0
594,2110 Stuart St,0,0,37.858384,-122.265973,0,1555,1.011,37.85959675,-122.2644263,4.05,3,0
595,Derby St at Acton St,0,2,37.858388,-122.283497,0,1900,1.619,37.85692172,-122.2856556,4.15,6,1
596,1933 Stuart St,0,0,37.858396,-122.269983,0,1847,1.107,37.86028962,-122.2693274,4.025,2,0
597,1945 Stuart St,0,0,37.858406,-122.269492,0,2015,1.092,37.85993587,-122.2693274,4.025,2,0
598,2731 Grant St,0,0,37.858429,-122.273056,0,1776,1.201,37.85843477,-122.2732539,4.1,4,1
599,2912 Claremont Ave,0,0,37.858437,-122.24541,0,2082,1.216,37.85658025,-122.251795,4.025,1,0
600,2243 Oregon St,0,0,37.858467,-122.262305,0,1295,0.953,37.8587002,-122.2617046,4.05,3,0
601,2339 Oregon Street - Apt F,0,1,37.858481,-122.261388,0,1850,0.945,37.8588839,-122.2617046,4.025,2,0
602,2116 Stuart St,0,0,37.858519,-122.265955,0,1555,1.002,37.85959675,-122.2644263,4.05,3,0
603,Stuart at Adeline,0,2,37.858526,-122.26818,0,1225,1.051,37.85993587,-122.2648264,4.075,3,0
604,1824 Ward St,0,0,37.858528,-122.272161,0,2075,1.165,37.85824919,-122.2701544,4.1,4,0
605,2738 Milvia St,0,0,37.858541,-122.269393,0,2015,1.081,37.85993587,-122.2693274,4.05,2,0
606,1110 Carleton St,1,2,37.858557,-122.288796,875,1625,1.856,37.85938245,-122.2895141,4.125,5,1
607,2108 Stuart St.,1,1,37.858608,-122.266352,500,1945,1.004,37.85989569,-122.264459,4.05,3,0
608,college at russell,0,1,37.858626,-122.25378,0,2450,0.98,37.85814856,-122.2523767,4,2,0
609,1717 Ward St,0,0,37.858728,-122.274805,0,1945,1.247,37.85843477,-122.2770584,4.15,4,1
610,2339 Oregon St,0,0,37.858784,-122.259955,0,2295,0.919,37.85942425,-122.2597247,4.025,2,0
611,2801 Fulton St,0,0,37.858786,-122.263897,0,1269,0.95,37.85916185,-122.26202,4.05,4,0
612,2709 McGee Ave,0,0,37.858816,-122.275588,0,1700,1.271,37.85824919,-122.2772275,4.15,4,1
613,2711 McGee Ave,0,0,37.858826,-122.275442,0,1700,1.265,37.85824919,-122.2772275,4.15,4,1
614,2733 Russell St,0,0,37.858833,-122.25166,0,2175,1.01,37.85796486,-122.2518531,4,2,0
615,2828 College Ave,0,0,37.858847,-122.253582,0,2234,0.969,37.85814856,-122.2523767,4,2,0
616,2901 Claremont Ave,0,0,37.858868,-122.244444,0,1776,1.228,37.85658025,-122.251795,4.025,1,0
617,2901 Claremont Ave.,0,1,37.858905,-122.244455,0,2900,1.226,37.85658025,-122.251795,4.025,1,0
618,440 Moraga Way,1,1,37.858913,-122.163355,650,1700,5.333,37.870124,-122.156629,3.725,1,1
619,2901 Claremont Ave.,0,2,37.858926,-122.244479,0,1450,1.224,37.85658025,-122.251795,4.025,1,0
620,2817 Telegraph Ave,0,0,37.858945,-122.258945,0,2093,0.908,37.85942425,-122.2597247,4,2,0
621,2143 Stuart St,0,0,37.859033,-122.265131,0,1950,0.953,37.85959675,-122.2644263,4.05,3,0
622,2823 Cherry St,0,0,37.859034,-122.251892,0,2994,0.992,37.85814856,-122.2518367,4.025,2,0
623,1509 Derby St,0,0,37.85904,-122.279664,0,1350,1.425,37.85692172,-122.2796295,4.2,6,1
624,2817 Regent St,0,0,37.859082,-122.256598,0,1320,0.912,37.85965373,-122.2597247,3.975,2,0
625,1716 Derby St,0,0,37.859103,-122.274846,0,1726,1.229,37.85843477,-122.2770584,4.15,4,1
626,2818 Telegraph Ave,0,0,37.859124,-122.25947,0,1369,0.895,37.85942425,-122.2597247,4.025,2,0
627,2817 College Ave,0,0,37.859136,-122.252932,0,1527,0.963,37.85814856,-122.2523767,4,2,0
628,1724 Derby St,0,0,37.859144,-122.274527,0,1365,1.215,37.85849042,-122.2732539,4.125,4,1
629,1535 Derby St,0,0,37.859174,-122.278632,0,1240,1.376,37.85844621,-122.27903,4.2,6,1
630,2818 Benvenue Ave,0,0,37.859187,-122.254856,0,2369,0.926,37.85942425,-122.2527052,3.95,2,0
631,1525 Derby St,0,0,37.859188,-122.279122,0,1590,1.396,37.85799411,-122.2794046,4.225,6,1
632,2821 Hillegass Ave,0,0,37.859203,-122.255349,0,2895,0.918,37.85959705,-122.2527052,3.975,2,0
633,1704 Derby Street,1,1,37.859242,-122.275994,900,2300,1.266,37.85945806,-122.2772275,4.15,4,2
634,2114 Ward St,0,0,37.85927,-122.266217,0,837,0.959,37.85989569,-122.2644263,4.05,2,0
635,2118 Ward St,0,0,37.859287,-122.266078,0,1550,0.955,37.85989569,-122.2644263,4.05,2,0
636,2821 Hillegass Avenue,1,2,37.859337,-122.255452,644,1397,0.908,37.85959705,-122.2527052,3.975,2,0
637,2128 Ward St,0,0,37.859346,-122.265605,0,1475,0.942,37.85989569,-122.2644263,4.05,2,0
638,2805 Telegraph Ave,0,0,37.859386,-122.259019,0,3800,0.878,37.85959705,-122.2597247,4.025,2,0
639,2814 College Ave,0,0,37.859397,-122.253635,0,2030,0.933,37.8601286,-122.2523767,3.95,2,0
640,2806 Regent St,0,0,37.85942,-122.257332,0,2436,0.883,37.85965373,-122.2597247,3.975,2,0
641,2810 Cherry St,0,0,37.859432,-122.252546,0,2395,0.953,37.85870812,-122.2523767,3.975,2,0
642,2801 Telegraph Ave,0,0,37.859435,-122.258847,0,3800,0.874,37.85942425,-122.2597247,4,2,0
643,Stuart St at Telegraph,2,4,37.859438,-122.258112,1980,1375,0.877,37.85942425,-122.2597247,4,2,0
644,2635 California St,0,0,37.859511,-122.277801,0,1751,1.326,37.85927248,-122.2782763,4.175,5,1
645,Stuart at Telegraph,0,1,37.859526,-122.25988,0,1925,0.868,37.85959705,-122.2597247,4.025,2,0
646,1536 Carleton St,0,0,37.859547,-122.278593,0,1827,1.358,37.85927248,-122.27903,4.225,6,1
647,2333 Stuart St,0,0,37.859599,-122.260802,0,2025,0.866,37.85965373,-122.2597247,4.025,1,0
648,2212 Ward St,0,0,37.859611,-122.263528,0,2002,0.89,37.85916185,-122.26202,4.05,3,0
649,1504 Carleton St,0,0,37.859617,-122.279877,0,3000,1.41,37.85992112,-122.2796295,4.2,6,1
650,1403 Carleton St,0,0,37.85963,-122.282247,0,1410,1.514,37.85746196,-122.2816094,4.125,7,1
651,2627 California St,0,0,37.859665,-122.277813,0,1218,1.32,37.85927248,-122.2782763,4.175,5,1
652,1409 Carleton St,0,0,37.859677,-122.281749,0,1795,1.489,37.85746196,-122.2816094,4.125,7,1
653,2803 Hillegass Ave,0,0,37.85968,-122.255501,0,1500,0.884,37.8604467,-122.2562657,3.975,2,0
654,2801 College Ave,0,0,37.859684,-122.253026,0,1618,0.926,37.8601286,-122.2523767,3.95,2,0
655,2801 Cherry,2,4,37.85971,-122.253156,1150,1375,0.922,37.8601286,-122.2523767,3.95,2,0
656,2817 College ave.,0,1,37.859714,-122.253947,0,1895,0.906,37.8601286,-122.2523767,3.95,2,0
657,2426 stuart st,1,3,37.859794,-122.257984,1300,1150,0.853,37.86018528,-122.2597247,4,2,0
658,2240 Ward St,0,0,37.859839,-122.262214,0,2944,0.859,37.8599508,-122.2619397,4.025,2,0
659,2620 Stuart St,0,0,37.859844,-122.254803,0,2975,0.883,37.86018528,-122.2523767,3.975,2,0
660,2810 Hillegass,0,1,37.859853,-122.256449,0,2995,0.861,37.86048968,-122.2562657,3.975,2,0
661,1815 Derby St,0,0,37.859889,-122.272716,0,1958,1.111,37.86053085,-122.2732539,4.075,3,1
662,2316 Ward St,0,0,37.859908,-122.261223,0,2300,0.847,37.85990305,-122.2597247,4.025,1,0
663,California street at Carleton Street,1,2,37.859926,-122.27858,750,1225,1.341,37.85927248,-122.27903,4.225,6,1
664,1410 Parker St,0,0,37.859943,-122.282291,0,4100,1.503,37.85909971,-122.2816094,4.125,7,1
665,2212 Ward St,0,2,37.859963,-122.264611,0,1397,0.883,37.86024944,-122.2644263,4.05,2,0
666,2525 Stuart St,0,0,37.859971,-122.256162,0,1699,0.856,37.86048968,-122.2562657,3.975,2,0
667,2703 Stuart St,0,0,37.860037,-122.253167,0,1878,0.901,37.8611221,-122.2523603,3.95,2,0
668,1613 Carleton St,0,0,37.860078,-122.277621,0,1847,1.293,37.85945806,-122.2779547,4.15,4,2
669,1617 Carleton St,0,0,37.860102,-122.277419,0,2114,1.284,37.85945806,-122.2779547,4.15,4,2
670,2615 Stuart St,0,0,37.860103,-122.255147,0,1825,0.861,37.8604467,-122.2562657,3.975,2,0
671,5th at Dwight,0,2,37.860133,-122.296522,1500,1875,2.188,37.86078823,-122.2943508,4.025,5,1
672,2745 Hillegass Ave,0,0,37.860146,-122.255474,0,2189,0.853,37.8604467,-122.2562657,3.975,2,0
673,2223 Ward St,0,0,37.86016,-122.263435,0,1649,0.852,37.86024944,-122.2644263,4.025,1,0
674,1605 Carleton St,0,0,37.860177,-122.277851,0,1624,1.299,37.85927248,-122.2782763,4.175,5,1
675,2723 Stuart St,0,0,37.860185,-122.252124,0,1800,0.915,37.8611221,-122.2523603,3.95,2,0
676,2628 Martin Luthe King Jr Way,0,2,37.860201,-122.271888,0,1450,1.065,37.86053085,-122.2693274,4.075,2,1
677,1611 Carleton St,0,0,37.86021,-122.277661,0,1847,1.289,37.85945806,-122.2779547,4.15,4,2
678,1816 Carleton St,0,0,37.860212,-122.272855,0,1521,1.099,37.86053085,-122.2732539,4.075,3,1
679,1615 Carleton St,0,0,37.860221,-122.277461,0,2114,1.28,37.85945806,-122.2779547,4.15,4,2
680,ward at ellsworth,0,3,37.860226,-122.26268,0,1198,0.838,37.86028259,-122.26202,4.025,2,0
681,2231 Ward St,0,0,37.86023,-122.262915,0,3597,0.84,37.86000748,-122.26202,4.025,2,0
682,1508 Parker St,0,0,37.860265,-122.280008,0,1995,1.388,37.86054041,-122.2796295,4.225,6,1
683,2608 Sacramento St,0,0,37.860275,-122.2807,0,2350,1.419,37.86081196,-122.2796295,4.175,5,1
684,1329 Parker St,0,0,37.86031,-122.28382,0,1314,1.56,37.86190285,-122.2857569,4.1,6,1
685,2735 Regent St,0,0,37.860333,-122.256731,0,1540,0.826,37.86048968,-122.2562657,3.975,2,0
686,2747 College Ave,0,0,37.860343,-122.253095,0,2413,0.883,37.8611221,-122.2523603,3.95,2,0
687,2737 Benvenue Ave,0,0,37.860353,-122.254253,0,1899,0.859,37.8610379,-122.2523603,4,2,0
688,2740 College Ave,0,0,37.86038,-122.253741,0,2474,0.867,37.8610379,-122.2523603,3.975,2,0
689,2732 Hillegass Ave,0,0,37.8604,-122.256121,0,2310,0.828,37.86108088,-122.2562493,4,2,0
690,1538 Parker St,0,0,37.860423,-122.278786,0,1775,1.328,37.86054041,-122.2790961,4.2,6,1
691,Carleton St at Grant St,1,2,37.860426,-122.27408,600,1150,1.134,37.86053085,-122.2732539,4.075,3,1
692,2319 Ward St,0,0,37.86043,-122.261399,0,1950,0.812,37.8604346,-122.2604911,4.025,1,0
693,2732 Benvenue Ave,0,0,37.860454,-122.254991,0,2437,0.84,37.86108088,-122.2562493,4,2,0
694,1816 Carleton Street,0,1,37.860475,-122.273786,0,1800,1.121,37.86053085,-122.2732539,4.075,3,1
695,2741 College Ave,0,0,37.860506,-122.253112,0,2419,0.872,37.8621576,-122.2523187,3.95,1,0
696,2730 Garber St,0,0,37.860516,-122.251848,0,2500,0.901,37.8622003,-122.2523187,3.925,1,0
697,1719 Carleton St,0,0,37.860538,-122.275036,0,1218,1.167,37.8617798,-122.2732539,4.1,3,1
698,2407 Ward St,0,0,37.860555,-122.259464,0,1725,0.797,37.86211638,-122.2597247,4.025,1,0
699,2713 Ellsworth St,0,0,37.860563,-122.261948,0,1649,0.807,37.8616116,-122.2605795,4.05,2,0
700,2411 Ward St,0,0,37.860595,-122.259285,0,1725,0.794,37.86211638,-122.2597247,4.025,1,0
701,2401 Ward St,0,0,37.8606,-122.25966,0,2791,0.794,37.8616116,-122.2597247,4.05,1,0
702,2728 Benvenue Ave,0,0,37.860601,-122.254968,0,1906,0.831,37.86108088,-122.2562493,4,2,0
703,1622 Parker St,0,0,37.860619,-122.277236,0,1500,1.253,37.86087615,-122.2779001,4.125,3,2
704,2730 College Avenue,0,4,37.860658,-122.253671,2300,1587,0.851,37.8621576,-122.2523187,3.975,1,0
705,Blake at Mabel,1,2,37.860726,-122.28558,500,950,1.629,37.8613028,-122.2857569,4.075,7,1
706,2521 San Pablo Ave,0,0,37.860743,-122.289095,0,1370,1.799,37.86187725,-122.2895141,4.05,6,1
707,1217 Blake St,0,0,37.860764,-122.286334,0,1675,1.664,37.86214025,-122.2865839,4.1,6,2
708,2432 7th St,0,0,37.860766,-122.294551,0,1342,2.071,37.86078823,-122.2943508,4.075,5,1
709,2447 8th St,0,0,37.860773,-122.292708,0,1885,1.978,37.86189916,-122.2933186,4.075,5,2
710,1622 Parker St,1,2,37.860778,-122.277445,790,1200,1.255,37.86087615,-122.2779001,4.125,3,2
711,2436 8th St,0,0,37.860826,-122.29341,0,1895,2.012,37.86189916,-122.2933186,4.075,5,2
712,2721 Hillegass Ave,0,0,37.86083,-122.255636,0,2284,0.805,37.86108088,-122.2562493,4,2,0
713,2203 Derby St,0,0,37.860849,-122.264283,0,2500,0.82,37.8609059,-122.2644263,4.05,1,0
714,2433 7th St,0,0,37.860881,-122.293923,0,1400,2.037,37.86193903,-122.2933186,4.075,5,2
715,1215 Blake St,0,0,37.860884,-122.286367,0,1675,1.662,37.86214025,-122.2865839,4.1,6,2
716,2434 8th St,0,0,37.860917,-122.293447,0,2000,2.012,37.86189916,-122.2933186,4.075,5,2
717,1736 Parker St,0,0,37.860927,-122.274364,0,1800,1.121,37.86186375,-122.2732714,4.125,3,1
718,1728 Parker St,0,0,37.860945,-122.274817,0,3500,1.139,37.8621251,-122.2733918,4.125,3,1
719,2431 7th St,0,0,37.860949,-122.293938,0,1117,2.036,37.86193903,-122.2933186,4.075,5,2
720,2737 Garber St,0,0,37.860963,-122.25195,0,2497,0.872,37.8622003,-122.2523187,3.925,1,0
721,1116 Dwight Way,0,0,37.860966,-122.288542,0,1750,1.765,37.86187725,-122.2895141,4.05,6,1
722,2639 Fulton St,0,0,37.86097,-122.264232,0,2250,0.811,37.86188565,-122.2644263,4.05,1,0
723,2763 Garber St,0,0,37.860993,-122.251463,0,1583,0.883,37.8622003,-122.2523187,3.925,1,0
724,2430 8th St,0,0,37.861001,-122.293476,0,1200,2.011,37.86189916,-122.2933186,4.075,5,2
725,1124 Dwight Way,0,0,37.861005,-122.288249,0,1243,1.75,37.86187725,-122.2895141,4.1,6,1
726,2734 Piedmont Ave,0,0,37.86101,-122.251261,0,897,0.887,37.8622003,-122.2523187,3.95,1,0
727,2638 Fulton St,0,0,37.861014,-122.264891,0,3069,0.82,37.86117995,-122.2644263,4.05,1,1
728,2715 Hillegass Ave,0,0,37.861046,-122.255717,0,2361,0.79,37.86211638,-122.2562077,4,1,0
729,0 0,0,1,37.861054,-122.291559,0,1800,1.913,37.86187725,-122.2902296,4.075,5,1
730,2718 College Ave,0,0,37.861072,-122.253804,0,2081,0.822,37.8621576,-122.2523187,3.975,1,0
731,2410 5th St,0,0,37.861076,-122.296988,0,1500,2.188,37.86193903,-122.2943508,4.1,5,1
732,1615 Parker St,0,0,37.861102,-122.277715,0,1758,1.253,37.8621251,-122.2779547,4.125,3,2
733,2227 Derby St,0,0,37.861103,-122.263256,0,2344,0.787,37.8616116,-122.2644263,4.05,1,0
734,1937 Carleton St,0,0,37.861126,-122.270083,0,2025,0.954,37.86126124,-122.2651799,4.1,2,1
735,1830 Parker St,0,0,37.861137,-122.272751,0,2975,1.049,37.8619623,-122.2725648,4.1,2,2
736,2449 10th St,0,0,37.861159,-122.290451,0,2028,1.855,37.86187725,-122.2902296,4.075,5,1
737,2715 Benvenue Ave,0,0,37.861183,-122.254334,0,2690,0.804,37.8621576,-122.2562077,3.975,1,0
738,2435 9th St,0,0,37.861205,-122.291617,0,2132,1.912,37.86189916,-122.2933186,4.075,5,2
739,2417 6th St,0,0,37.861209,-122.295173,0,1791,2.092,37.86196875,-122.2943508,4.075,5,1
740,2436 10th St,0,0,37.861212,-122.291147,0,2487,1.888,37.86187725,-122.2902296,4.075,5,1
741,2021 Carleton St,0,0,37.861319,-122.26865,0,1726,0.897,37.86164324,-122.264459,4.125,2,1
742,sacramento at blake,0,1,37.861326,-122.28118,0,1600,1.401,37.8621744,-122.281297,4.2,5,1
743,2627 Fulton St,0,0,37.861332,-122.264309,0,1816,0.789,37.8616116,-122.2644263,4.05,1,0
744,2708 College Ave,0,0,37.861352,-122.253826,0,1716,0.803,37.8622003,-122.2562077,3.95,1,0
745,1711 Parker St,0,0,37.861371,-122.275625,0,2842,1.152,37.8621251,-122.2733918,4.125,3,1
746,1236 Dwight Way,0,0,37.861372,-122.285727,0,875,1.615,37.86251104,-122.2865839,4.05,7,1
747,2329 Derby St,0,0,37.861403,-122.261018,0,1675,0.743,37.86320285,-122.2605714,4.025,1,0
748,2728 Benvenue Ave,0,1,37.861412,-122.255394,0,1795,0.77,37.8621576,-122.2562077,3.975,1,0
749,2415 7th St,0,0,37.86142,-122.294063,0,1650,2.03,37.86193903,-122.2933186,4.075,5,2
750,1741 Parker St,0,0,37.861449,-122.274292,0,1922,1.094,37.8621251,-122.2733918,4.1,3,1
751,2705 Benvenue Ave,0,0,37.861451,-122.25444,0,1878,0.785,37.8621576,-122.2562077,3.975,1,0
752,2200 Carleton St,0,0,37.861472,-122.264353,0,1624,0.78,37.8616116,-122.2644263,4.05,1,0
753,2704 College Ave,0,0,37.861491,-122.253751,0,2225,0.796,37.8622003,-122.2562077,3.95,1,0
754,1620 Blake St,0,0,37.861505,-122.277419,0,1630,1.224,37.8621251,-122.2779547,4.125,3,2
755,2703 Benvenue Ave,0,0,37.86151,-122.25457,0,1878,0.778,37.8621576,-122.2562077,3.975,1,0
756,2642 Derby St,0,0,37.861549,-122.254013,0,3200,0.787,37.8621576,-122.2562077,3.975,1,0
757,2703 Forest Ave,0,0,37.86155,-122.253175,0,1750,0.805,37.8622003,-122.2523187,3.95,1,0
758,1245 Dwight,2,2,37.861555,-122.286819,1050,1750,1.663,37.86214025,-122.2865839,4.1,6,2
759,1201 Dwight Way,0,0,37.861563,-122.287714,0,1675,1.707,37.86214025,-122.2889899,4.1,6,1
760,2737 Forest Ave,0,0,37.861564,-122.251727,0,2995,0.841,37.8622003,-122.2523187,3.95,1,0
761,2119 Carleton St,0,0,37.861609,-122.265983,0,2030,0.807,37.86188565,-122.2644263,4.075,1,1
762,parker street,0,1,37.861626,-122.27228,0,2990,1.006,37.8621618,-122.2692189,4.075,2,2
763,1322 dwight way,0,3,37.861678,-122.285309,0,1400,1.585,37.86251104,-122.2865839,4.05,7,1
764,1621 Blake Street,0,1,37.861687,-122.278451,0,1695,1.262,37.8621744,-122.2783911,4.125,4,2
765,2447 Derby St,0,0,37.861718,-122.257692,0,2750,0.723,37.8622638,-122.2564497,4.025,1,0
766,2324 Carleton St,0,0,37.861724,-122.261299,0,3860,0.723,37.86349974,-122.2626701,4.025,1,0
767,1734 Blake St,0,0,37.861739,-122.274745,0,1797,1.099,37.8621251,-122.2733918,4.125,3,1
768,2443 Derby St,0,0,37.861741,-122.258045,0,4100,0.719,37.8622638,-122.2564497,4.025,1,0
769,1321 Dwight Way,0,0,37.861777,-122.285299,0,1658,1.582,37.8633837,-122.2865839,4.025,7,1
770,2427 San Pablo Ave,0,0,37.861779,-122.289589,0,1450,1.794,37.86187725,-122.2902296,4.075,5,1
771,906 Channing Way,0,0,37.861821,-122.294172,0,2295,2.026,37.86196875,-122.2933186,4.1,5,2
772,2429 San Pablo Ave,0,0,37.861835,-122.289425,0,1450,1.784,37.86187725,-122.2895141,4.1,6,1
773,2646 Hillegass Ave,0,0,37.861844,-122.256352,0,2969,0.728,37.86211638,-122.2562077,4,1,0
774,2411 8th St,0,0,37.86185,-122.293059,0,2106,1.968,37.86189916,-122.2933186,4.075,5,2
775,2431 9th St,1,2,37.861875,-122.292427,600,1347,1.935,37.86189916,-122.2933186,4.075,5,2
776,1742 Blake St,0,0,37.861885,-122.274418,0,2095,1.079,37.8621618,-122.2733918,4.075,3,1
777,2667 Derby St,0,0,37.861905,-122.254301,0,1309,0.758,37.8622003,-122.2562077,3.95,1,0
778,2699 Derby St,0,0,37.86191,-122.253821,0,2431,0.768,37.8622003,-122.2562077,3.95,1,0
779,2712 Derby St,0,0,37.86192,-122.25294,0,1947,0.788,37.8622003,-122.2523187,3.95,1,0
780,2211 Carleton St,0,0,37.861922,-122.264009,0,2049,0.745,37.86188565,-122.2630662,4.05,1,0
781,Parker Street at Shattuck Avenue,1,2,37.861946,-122.268412,550,1150,0.854,37.86217607,-122.264459,4.1,1,1
782,2722 Derby St,0,0,37.861954,-122.252375,0,1421,0.8,37.8622003,-122.2523187,3.95,1,0
783,0 0,0,1,37.861959,-122.255988,0,1750,0.725,37.86211638,-122.2562077,4,1,0
784,2607 Fulton St,0,0,37.861986,-122.264447,0,2588,0.749,37.86188565,-122.2630739,4.05,1,1
785,1621 Blake St,0,0,37.862002,-122.277667,0,1561,1.215,37.86263625,-122.2780696,4.1,3,2
786,2637 Regent St,0,0,37.86201,-122.257108,0,2094,0.708,37.86274705,-122.2565992,4.025,1,0
787,2704 Derby St,0,0,37.862016,-122.253111,0,1623,0.778,37.8622003,-122.2562077,3.95,1,0
788,2114 Parker St,0,0,37.862027,-122.266117,0,1548,0.784,37.86250235,-122.2644263,4.075,1,1
789,1625 Blake St,0,0,37.86203,-122.277517,0,1560,1.207,37.86263625,-122.2773654,4.1,3,2
790,2120 Parker St,0,0,37.862046,-122.265947,0,2076,0.779,37.86250235,-122.2644263,4.075,1,1
791,2124 Parker St,0,0,37.862092,-122.265604,0,2310,0.768,37.86188565,-122.2644263,4.075,1,1
792,2632 Regent St,0,0,37.862098,-122.257868,0,2345,0.696,37.8631144,-122.2565992,4.05,1,0
793,2620 Dana St.,0,1,37.862126,-122.26068,0,2200,0.691,37.863501,-122.2625817,4.025,0,0
794,2421 San Pablo Ave,0,0,37.862127,-122.289526,0,1539,1.782,37.8628405,-122.2889899,4.1,6,2
795,839 Channing Way,0,0,37.862136,-122.29505,0,1775,2.063,37.862669,-122.2945199,4.075,5,2
796,2633 Regent St,0,0,37.862145,-122.257121,0,1370,0.699,37.86274705,-122.2565992,4.025,1,0
797,2604 Fulton St,0,0,37.862159,-122.265074,0,2233,0.751,37.86188565,-122.2641139,4.075,1,1
798,2635 Hillegass Ave,0,0,37.862182,-122.255815,0,3309,0.713,37.86226254,-122.2562096,3.975,1,0
799,2134 Parker St,0,0,37.862194,-122.265303,0,1050,0.754,37.86188565,-122.2641139,4.075,1,1
800,2609 Ellsworth St,0,0,37.862226,-122.26219,0,3057,0.697,37.86349974,-122.2630132,4.025,1,0
801,1429 Dwight Way,0,0,37.862232,-122.282779,0,1834,1.445,37.8621744,-122.2855179,4.075,5,1
802,2626 Regent St,0,0,37.862241,-122.257776,0,1500,0.687,37.8631144,-122.2565992,4.05,1,0
803,2023 Parker St,0,0,37.86225,-122.268574,0,2500,0.842,37.8622192,-122.2648264,4.125,1,1
804,2620 Dana St,0,0,37.862267,-122.260435,0,2113,0.681,37.863501,-122.2625817,4.025,0,0
805,2327 Carleton St,0,0,37.862272,-122.261358,0,1578,0.686,37.86349974,-122.2626701,4.025,1,0
806,2210 Parker St,0,0,37.862278,-122.264174,0,1000,0.725,37.8619471,-122.2630739,4.025,1,1
807,2212 Parker St,0,0,37.862287,-122.264171,0,1000,0.724,37.8619471,-122.2630739,4.025,1,1
808,1717 Blake St,0,0,37.862288,-122.275527,0,2311,1.109,37.86263625,-122.2733918,4.075,3,1
809,parker at shattuck,0,2,37.862301,-122.266159,0,1495,0.769,37.86261604,-122.2644263,4.1,1,1
810,1920 Blake St,0,0,37.86231,-122.270799,0,1979,0.917,37.8622661,-122.2684566,4.075,1,2
811,1315 Dwight Way,0,0,37.862315,-122.285405,0,1658,1.571,37.86344055,-122.2865839,4.05,6,1
812,2218 Parker St,0,0,37.862322,-122.263858,0,1950,0.716,37.8619471,-122.2630739,4.025,1,1
813,2208 Parker St,0,0,37.862371,-122.264344,0,3700,0.722,37.8619471,-122.2630739,4.025,1,1
814,1626 Dwight Way,0,0,37.862377,-122.277696,0,1150,1.201,37.86263625,-122.2780696,4.1,3,2
815,2717 Derby St,0,0,37.862378,-122.252757,0,1700,0.765,37.8622003,-122.2562077,3.95,1,0
816,2627 Hillegass Ave,0,0,37.862387,-122.255836,0,2527,0.699,37.86274705,-122.2564427,4,1,0
817,1654 Dwight Way,0,0,37.862395,-122.277448,0,1218,1.189,37.86263625,-122.2773654,4.1,3,2
818,2631 Benvenue Ave,0,0,37.862407,-122.254512,0,1230,0.722,37.8622271,-122.2562096,3.95,1,0
819,2409 Carleton St,0,0,37.862416,-122.259744,0,1210,0.668,37.86357146,-122.2600401,4.05,1,0
820,2607 Ellsworth St,0,0,37.862417,-122.26223,0,1776,0.685,37.86349974,-122.2630132,4.025,1,0
821,2625 Regent St,0,0,37.86242,-122.257149,0,2730,0.68,37.8631144,-122.2565992,4.05,1,0
822,Telegraph,1,2,37.862426,-122.25938,900,1550,0.668,37.86357146,-122.2600401,4.05,1,0
823,2819 Derby St,0,0,37.862448,-122.250464,0,3619,0.828,37.86289485,-122.2520757,3.95,1,0
824,2252 Parker St,0,0,37.862459,-122.262854,0,2254,0.691,37.86349974,-122.2626701,4.025,1,0
825,1662 Dwight Way,0,0,37.86246,-122.27731,0,2252,1.181,37.86263625,-122.2773654,4.1,3,2
826,2636 College Ave,0,0,37.862472,-122.253769,0,2577,0.734,37.8622003,-122.2562077,3.95,1,0
827,1936 Blake St,0,0,37.862473,-122.270244,0,1995,0.888,37.8631346,-122.2683956,4.125,1,2
