,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,latitude,longitude,avg_rating,#cafes,#pubs
54,306 LEE STREET,1,1,37.811362,-122.257128,700,2495,4.191,37.81253675,-122.2569485,4.125,1,0
55,365 Perkins Street,0,1,37.811389,-122.255375,0,2345,4.193,37.8126827,-122.2560146,4.125,1,0
56,306 LEE STREET,1,1,37.811513,-122.25601,700,2495,4.183,37.8126827,-122.2560146,4.125,1,0
57,100 Grand Ave,1,1,37.811527,-122.26618,724,3215,4.194,37.81158985,-122.2646277,4.1,2,0
58,365 Perkins Street,0,1,37.811835,-122.255516,0,2345,4.162,37.8126827,-122.2560146,4.125,1,0
59,149 Montecito ave,0,1,37.811903,-122.259582,0,1550,4.152,37.81253675,-122.2607808,4.15,2,0
60,Pine Street at 12th Street,2,2,37.812527,-122.30018,1500,1625,4.673,37.8099623,-122.2900848,4.1,1,2
61,perkins at palm,1,1,37.812564,-122.254078,652,2450,4.117,37.8126827,-122.252609,4.125,1,0
62,425 orange St,2,2,37.8126,-122.2443,1000,1350,4.187,37.81226675,-122.2449661,3.875,1,0
63,461 24 street,1,1,37.813607,-122.267082,300,1450,4.056,37.81324367,-122.2685604,4.075,4,1
64,grand ave at davidson,0,1,37.815627,-122.246279,0,1675,3.961,37.81299565,-122.2452062,3.95,2,0
65,101 Fairmount Ave,0,2,37.816073,-122.260451,0,1172,3.865,37.8159816,-122.2622151,4.125,3,1
66,101 Fairmount Ave,0,2,37.816361,-122.260494,0,1147,3.845,37.8159816,-122.2622151,4.1,4,1
67,400 Orange St.,0,1,37.816805,-122.254608,0,2225,3.823,37.816944,-122.255302,4.225,1,0
68,1084 24th St,1,2,37.816916,-122.28241,642,900,4.008,37.8171529,-122.2797947,4.175,3,0
69,407 Orange St.,1,1,37.817209,-122.254808,980,2650,3.795,37.81734836,-122.2534295,4.225,1,0
70,392 Orange Street,0,2,37.81726,-122.25579,0,1325,3.788,37.81734836,-122.255302,4.2,1,0
71,Martin Luther King Jr. Way at Apagar,0,2,37.818327,-122.27188,0,100,3.771,37.81662225,-122.270768,4.075,4,1
72,101 Fairmount Ave,0,2,37.818531,-122.259722,0,1200,3.695,37.818497,-122.2609575,4.15,2,1
73,3921 Harrison Street,0,1,37.821809,-122.251353,0,2295,3.497,37.82220535,-122.2534295,4.125,0,0
74,3921 Harrison Street,0,1,37.821992,-122.2499,0,2250,3.496,37.82170495,-122.251847,4.15,0,0
