address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs
1110 Carleton St,1,2,37.858557,-122.288796,875,1625,1.856,4.125,5,1
1110 Francisco St,0,0,37.872603,-122.292505,0,1249,1.806,4,4,1
1111 Allston Way,0,0,37.866733,-122.290592,0,1806,1.741,4.075,0,0
1112 Allston Way,0,0,37.866258,-122.29048,0,2132,1.743,3.925,1,0
1112 Harrison St,0,0,37.882269,-122.295585,0,2000,2.095,4.05,4,0
1114 Francisco St,0,0,37.872444,-122.292326,0,1461,1.796,3.95,1,1
1116 Dwight Way,0,0,37.860966,-122.288542,0,1750,1.765,4.05,6,1
1118 Delaware St,0,0,37.871366,-122.292067,0,1560,1.783,3.9,3,2
112 Commodore drive,0,1,37.913478,-122.344823,0,3100,5.469,3.9,3,1
1120 Hearst Ave,0,0,37.8703,-122.291736,0,1093,1.768,3.95,4,2
1121 40th ST at Adeline Street,1,1,37.830667,-122.278862,625,2400,3.048,4.1,4,0
1122 Univeristy,0,2,37.868993,-122.291222,1100,1560,1.749,3.925,1,0
1122 Univeristy,0,2,37.869128,-122.291222,1100,1560,1.748,3.95,5,2
1122 Univeristy ave,0,2,37.869094,-122.291608,1100,1560,1.769,3.9,2,1
1122 University ave,1,2,37.869116,-122.291751,610,1350,1.777,3.95,5,2
1124 Dwight Way,0,0,37.861005,-122.288249,0,1243,1.75,4.1,6,1
1127 Hopkins St,0,0,37.876,-122.293046,0,1857,1.855,4.15,6,0
1128 Bancroft Way,0,0,37.864467,-122.289279,0,2148,1.713,3.95,3,2
1130 65th Street,0,3,37.847911,-122.286403,1850,1199,2.226,4.025,5,1
1130 65th street at hollis,0,3,37.84707,-122.287617,1850,1198,2.313,3.95,4,1
1130 65th street at hollis,0,3,37.851137,-122.280922,1850,1265,1.862,4.025,5,0
1130 65th street Unit G at hollis,0,3,37.845444,-122.287102,1700,1199,2.38,3.925,4,1
1135 Page St,0,0,37.877937,-122.293755,0,2493,1.917,4.15,7,0
1136 Hearst Ave,0,0,37.870413,-122.290947,0,1883,1.725,3.875,3,2
1137 High Ct,0,0,37.88866,-122.262955,0,1548,1.158,3.975,2,0
1139 Oxford St,0,0,37.887732,-122.267624,0,1420,1.166,3.775,1,0
1140 Hearst Ave,0,0,37.869802,-122.290982,0,1883,1.73,4.125,1,2
1141 Hearst Ave,0,0,37.87091,-122.290787,0,1726,1.714,3.975,4,2
"1158 - 63rd Street, at San Pablo Avenue",1,2,37.845105,-122.286415,800,750,2.375,3.925,4,1
1162 Sunrise Ridge Dr.,0,4,37.950678,-122.110591,2588,1375,9.775,3.825,1,0
1169 Euclid Ave,0,0,37.887359,-122.261958,0,1685,1.061,4.075,2,1
11720 San Pablo Avenue,1,1,37.9156,-122.2985,672,2300,3.681,3.975,4,0
11720 San Pablo Avenue,1,1,37.92706,-122.319836,745,2212,5.025,3.75,2,2
1176 University Ave,0,0,37.86903,-122.290098,0,1199,1.688,3.95,5,2
1176 University Ave - 206,0,1,37.869336,-122.290209,0,1395,1.691,3.975,1,2
1180 University Ave,0,0,37.869141,-122.289965,0,2002,1.68,3.975,1,2
1186 Laurel St,0,0,37.886859,-122.26356,0,1523,1.042,4,2,0
1192 Kains Ave,0,0,37.882749,-122.29583,0,1117,2.119,4.025,4,0
1192 Laurel St,220,1,37.886525,-122.26378,220,1050,1.022,3.95,3,0
120 Caldecott Lane,1,2,37.853848,-122.222965,1200,1422,2.36,4.175,1,0
120 Caldecott Ln,2,3,37.853255,-122.223394,1400,998,2.362,4.175,1,1
1201 Dwight Way,0,0,37.861563,-122.287714,0,1675,1.707,4.1,6,1
1202 Carrison St,0,0,37.851334,-122.285183,0,2002,2.007,4.1,6,1
1205 Peralta Ave,0,0,37.882147,-122.286917,0,2300,1.653,4.05,3,0
1207 Melville Sq,1,1,37.915487,-122.348006,734,1795,5.689,3.875,1,0
1207 University Ave,0,0,37.869788,-122.289007,0,1289,1.623,3.95,4,2
1210 Masonic Ave,0,0,37.882854,-122.291266,0,1800,1.89,4.025,4,0
1211 University Ave,0,0,37.870087,-122.289043,0,1616,1.623,3.9,1,1
1212 Carrison St,0,0,37.8514,-122.284829,0,1726,1.99,4.1,6,1
1212 Neilson St,0,0,37.882466,-122.288938,0,1742,1.762,4.05,5,0
1213 San Pablo Ave,0,0,37.88185,-122.29589,0,1364,2.101,4.125,4,0
1215 Blake St,0,0,37.860884,-122.286367,0,1675,1.662,4.1,6,2
1216 Spruce St,0,0,37.885508,-122.266847,0,4000,1.009,4,3,0
1217 Blake St,0,0,37.860764,-122.286334,0,1675,1.664,4.1,6,2
1218 Haskell St,0,0,37.850505,-122.285096,0,1832,2.045,4.1,7,0
1218 Shattuck Ave,0,0,37.88474,-122.27023,0,1218,1.051,4.1,2,1
1219 University Ave,0,0,37.870135,-122.288854,0,1574,1.612,3.9,3,2
1221 Oregon St,0,0,37.855358,-122.285486,0,1450,1.832,4.15,5,1
1222 Delaware St,0,0,37.871681,-122.288907,0,1696,1.61,4,3,1
1223 University Ave,0,0,37.870151,-122.288654,0,1583,1.601,3.95,4,2
1225 Ashby Ave,0,0,37.85259,-122.285844,0,1150,1.973,4.1,6,1
1225 Bonita Ave,0,0,37.884554,-122.272972,0,1275,1.132,4.05,3,0
1226 Haskell St,0,0,37.8506,-122.284716,0,2850,2.026,4.05,6,0
1226 Russell St,0,0,37.853663,-122.285714,0,1320,1.918,4.125,6,1
1227 University Ave,0,0,37.869819,-122.288678,0,1360,1.605,3.925,4,2
1229 Evelyn Ave,0,0,37.882216,-122.291525,0,1852,1.886,4.05,3,0
1231 University Ave,0,0,37.869843,-122.288481,0,1434,1.594,3.95,5,2
1233 University Ave,0,0,37.869791,-122.288447,0,1434,1.592,3.95,5,2
1235 Carrison St,0,0,37.851934,-122.284826,0,914,1.964,4.1,6,1
1236 Dwight Way,0,0,37.861372,-122.285727,0,875,1.615,4.05,7,1
1236 Haskell St,0,0,37.850651,-122.284302,0,1827,2.008,4.05,6,0
1238 Haskell St,0,0,37.850509,-122.284076,0,954,2.007,4,5,0
1239 Berkeley Way,0,0,37.870603,-122.287918,0,2150,1.559,3.975,1,2
1240 Milvia St,0,0,37.883758,-122.272362,0,1332,1.069,4,2,0
1243 allston way,1,1,37.866897,-122.287494,650,2495,1.574,3.95,0,0
1244 Hearst Ave,0,0,37.870539,-122.288786,0,2030,1.606,3.975,1,2
1245 Ashby Ave,0,0,37.852842,-122.284617,0,2100,1.912,4.125,6,1
1245 Dwight,2,2,37.861555,-122.286819,1050,1750,1.663,4.1,6,2
1245 Francisco St,0,0,37.873463,-122.288056,0,2195,1.566,4,4,0
1246 Hearst Ave,0,0,37.870975,-122.288815,0,2030,1.606,3.925,3,1
1248 Ashby Ave,0,0,37.85239,-122.284254,0,1218,1.92,4.125,6,1
1250 Campus drive,2,3,37.886438,-122.254894,1575,1233,1.02,3.975,4,0
1251 Pear Drive,2,4,37.946973,-122.041841,2000,600,12.965,4,0,0
1252 Hopkins St,0,0,37.877287,-122.28962,0,1370,1.687,4.025,4,0
1260 Hopkins St,0,0,37.877516,-122.28911,0,2148,1.663,4.05,4,0
1266 Bancroft Way,0,0,37.864883,-122.287153,0,1400,1.593,4,5,1
1275 Bonita Avenue,1,3,37.883915,-122.273702,800,1166,1.126,4.025,5,0
1275 University Ave,0,0,37.870006,-122.287303,0,1693,1.529,3.95,5,1
1277 Hearst Ave,0,0,37.871529,-122.287395,0,2273,1.527,3.95,4,1
1290 Hopkins St,0,0,37.877478,-122.288522,0,2220,1.631,4.175,6,0
1299 Carlotta Ave,0,0,37.882736,-122.280345,0,2850,1.356,4.025,6,1
1300 Albina Ave,0,0,37.882112,-122.284033,0,2228,1.51,4.15,0,1
1301 Delaware St,0,0,37.87278,-122.286713,0,3000,1.49,3.925,3,3
1301 Gilman St,0,0,37.881583,-122.289657,0,1243,1.775,4.15,2,3
1302 Albina Ave,0,0,37.881994,-122.284073,0,3300,1.508,4.175,0,0
