address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs
1522 Grant St,0,0,37.878399,-122.276364,0,2100,1.021,4.125,6,0
1522 Oxford St,0,0,37.879484,-122.267293,0,3600,0.665,4.025,2,0
1522 Prince St,0,0,37.851363,-122.277553,0,2035,1.739,3.975,6,0
1523 Milvia Street,1,2,37.879498,-122.271858,900,1650,0.848,4.05,2,3
1524 Berkeley Way,0,0,37.871261,-122.280969,0,2495,1.177,3.95,3,1
1524 Milvia St,0,0,37.87932,-122.271955,0,2145,0.845,4.1,6,0
1525 Alcatraz Ave,0,0,37.848315,-122.276769,0,2321,1.894,4.025,5,0
1525 Derby St,0,0,37.859188,-122.279122,0,1590,1.396,4.225,6,1
1525 Harmon St,0,0,37.849227,-122.276951,0,1624,1.845,3.975,6,0
1525 Spruce St,0,0,37.879714,-122.265496,0,1897,0.62,4.1,6,0
1525 Stuart St,0,0,37.857353,-122.278528,0,2675,1.456,4.175,4,1
1526 Arch St,0,0,37.879754,-122.2649,0,1941,0.605,4.125,5,0
1526 Walnut St,0,0,37.879337,-122.268397,0,2000,0.698,4.05,3,0
1527 Ashby Ave,0,0,37.853698,-122.277908,0,2097,1.621,4.025,6,0
1527 Russell St,0,0,37.85521,-122.278412,0,888,1.559,4.075,4,1
1528 Alcatraz Ave,0,0,37.847687,-122.276261,0,2500,1.918,4.05,5,0
1528 Oxford St,0,0,37.879321,-122.267273,0,2233,0.655,4.025,3,0
1528 Walnut St,0,0,37.879194,-122.268387,0,1450,0.69,4.1,6,0
1528 Woolsey St,0,0,37.850491,-122.2772,0,2413,1.778,3.975,6,0
1529 Alcatraz Ave,0,0,37.848336,-122.276599,0,1544,1.888,4,5,0
1529 Harmon St,0,0,37.84925,-122.276777,0,1822,1.839,3.975,5,0
1529 Russell St,0,0,37.855446,-122.278294,0,1490,1.543,4.075,4,1
1529 Tyler St,0,0,37.85285,-122.277366,0,1776,1.65,3.975,5,0
1530 Alcatraz Ave,0,0,37.847955,-122.276342,0,2500,1.904,4,5,0
1530 Bancroft Way,0,0,37.865861,-122.280156,0,2132,1.21,4.025,2,2
1530 Henry St,0,0,37.878888,-122.270712,0,2899,0.772,4.05,3,0
1530 Prince St,0,0,37.851408,-122.277211,0,1624,1.726,3.975,6,0
1531 Milvia St,0,0,37.878898,-122.271182,0,1738,0.793,4.1,6,0
1531 Shattuck Ave,0,0,37.879121,-122.268809,0,1814,0.703,4.075,5,0
1532 Walnut St,0,0,37.879086,-122.268375,0,1570,0.685,4.05,2,2
1533 Berkeley Way,0,0,37.871731,-122.280689,0,1218,1.16,4.075,3,1
1533 Harmon St,0,0,37.849273,-122.276597,0,1668,1.832,3.975,5,0
1534 Harmon St,0,0,37.84874,-122.276488,0,1754,1.861,4,5,0
1534 Tyler St,0,0,37.852393,-122.277411,0,1735,1.676,3.975,6,0
1535 Derby St,0,0,37.859174,-122.278632,0,1240,1.376,4.2,6,1
1535 Julia St,0,0,37.854606,-122.277761,0,1300,1.567,4.05,4,1
1535 Prince St,0,0,37.851939,-122.277293,0,3045,1.698,4,5,0
1536 Carleton St,0,0,37.859547,-122.278593,0,1827,1.358,4.225,6,1
1536 Harmon St,0,0,37.848808,-122.27633,0,1923,1.852,4,5,0
1537 Harmon St,0,0,37.849297,-122.276426,0,2355,1.826,3.975,5,0
1538 Arch St,0,0,37.879284,-122.264983,0,1015,0.58,4.025,3,0
1538 Henry St,0,0,37.878727,-122.270692,0,2356,0.765,4.05,3,0
1538 Henry St.,0,1,37.879327,-122.270725,0,1875,0.792,4.05,4,0
1538 Parker St,0,0,37.860423,-122.278786,0,1775,1.328,4.2,6,1
1540 Milvia St,0,0,37.879156,-122.271944,0,2500,0.838,4.1,6,0
1540 Ward St,0,0,37.857757,-122.278317,0,1320,1.429,4.175,4,1
1541 Oxford St,0,2,37.879071,-122.266653,0,1250,0.62,4.1,6,0
1541 Oxford St,0,0,37.879277,-122.26659,0,2683,0.629,4.1,6,0
1541 Oxford St.,1,2,37.879139,-122.266695,850,1350,0.626,4.15,5,0
1541 Russell St,0,0,37.855476,-122.27779,0,2522,1.523,4.075,4,1
1543 Dwight Way,0,0,37.862613,-122.279656,0,1472,1.283,4.1,3,2
1543 Fairview St,0,0,37.850176,-122.276432,0,750,1.774,3.975,5,0
1543 Spruce St,0,0,37.879242,-122.265519,0,1740,0.593,4.075,5,0
1545 Hopkins St,0,0,37.881568,-122.282751,0,1700,1.43,4.075,4,2
1547 Hopkins St,0,0,37.881618,-122.282544,0,2005,1.422,4.1,5,0
1550 Walnut St,0,0,37.878731,-122.268286,0,3531,0.664,4.025,2,2
1552 Milvia St,0,0,37.878961,-122.271734,0,2200,0.82,4.1,6,0
1555 Oxford,0,3,37.879433,-122.267325,0,1298,0.663,4,2,0
1555 Oxford St,0,0,37.878793,-122.266762,0,3423,0.61,4.05,3,0
1569 Spruce St,0,0,37.879077,-122.265503,0,2278,0.583,4.05,4,0
1585 Brunswig Lane,0,2,37.835615,-122.292337,1434,1900,3.093,3.825,3,1
1585 Brunswig lane,0,2,37.835683,-122.292852,0,1900,3.105,3.775,3,0
1588 Henry St,0,0,37.8785,-122.27056,0,2894,0.75,4.15,6,0
1590 Oregon St,0,0,37.856131,-122.277673,0,1523,1.485,4.075,3,1
1590 Oregon Street,1,2,37.85636,-122.278063,700,1050,1.488,4.075,3,1
1600 Tyler St,0,0,37.852418,-122.276503,0,1675,1.646,3.925,5,0
1602 Edith St,0,0,37.877124,-122.277324,0,2436,1.036,4,1,2
1603 Fairview St,0,0,37.850285,-122.275905,0,1631,1.753,3.975,5,0
1603 McGee Ave,0,0,37.877023,-122.277929,0,2500,1.065,4.025,4,0
1603 Prince St,0,0,37.852053,-122.276427,0,2053,1.665,3.95,5,0
1604 Grant St,0,0,37.877155,-122.276196,0,2342,0.978,4.15,6,0
1604 Josephine St,0,0,37.877363,-122.275141,0,2436,0.93,4.175,6,0
"16040 Mateo, Unit A",0,2,37.700196,-122.117889,0,1112,14.164,3.975,0,1
1605 Carleton St,0,0,37.860177,-122.277851,0,1624,1.299,4.175,5,1
1607 Milvia St,0,0,37.877776,-122.27106,0,2295,0.745,4.1,6,0
1607 Walnut St,0,0,37.878218,-122.267616,0,1726,0.613,4.15,7,0
1608 62nd St,0,0,37.846143,-122.275032,0,1050,1.982,4.05,5,0
1608 Kains Ave,0,0,37.87492,-122.293317,0,1015,1.861,4.125,5,0
1609 Addison St,0,0,37.870044,-122.279155,0,2332,1.086,3.925,3,1
1609 Bonita Ave,0,0,37.877589,-122.272163,0,2842,0.79,4.15,6,0
1609 Stuart St,0,0,37.857545,-122.277115,0,1213,1.393,4.125,3,1
1610 62nd St,0,0,37.846164,-122.274861,0,2814,1.977,4.05,5,0
1610 Fairview St,0,0,37.849838,-122.275612,0,1700,1.771,4,5,0
1611 62nd St,0,0,37.846687,-122.275004,0,1015,1.948,4.05,5,0
1611 Carleton St,0,0,37.86021,-122.277661,0,1847,1.289,4.15,4,2
1611 Fairview St,0,0,37.850307,-122.275732,0,1911,1.747,3.95,5,0
1611 McGee Ave,0,0,37.876804,-122.277993,0,1475,1.063,4.075,5,0
1611 Russell St,0,0,37.85567,-122.276639,0,1350,1.472,4.05,3,1
1612 Harmon St,0,0,37.848874,-122.275423,0,2081,1.824,4,5,0
1612 Hopkins St,0,0,37.882054,-122.280881,0,675,1.357,4.1,0,2
1612 Walnut St,0,0,37.878037,-122.26827,0,2990,0.632,4.025,3,0
1613 6th St,0,0,37.873661,-122.299134,0,2166,2.171,3.975,3,0
1613 Carleton St,0,0,37.860078,-122.277621,0,1847,1.293,4.15,4,2
1614 Harmon St,0,0,37.848896,-122.275262,0,1814,1.819,4,5,0
1614 University Ave,0,0,37.870592,-122.27937,0,1985,1.093,3.95,4,2
1615 9th St,2,3,37.873871,-122.295492,1700,186,1.973,4,4,0
1615 Arch St,1,2,37.878701,-122.264952,900,1650,0.545,4.15,6,0
1615 Carleton St,0,0,37.860221,-122.277461,0,2114,1.28,4.15,4,2
1615 MLK Jr Way,0,0,37.877349,-122.273302,0,2408,0.838,4.025,4,0
1615 Parker St,0,0,37.861102,-122.277715,0,1758,1.253,4.125,3,2
1615 Prince St,0,0,37.852123,-122.275897,0,1942,1.645,3.95,5,0
1616 Prince St,0,0,37.85162,-122.275565,0,1100,1.664,3.975,4,0
1616 Ward St,0,0,37.857902,-122.276945,0,1314,1.368,4.125,3,1
1617 Addison St,0,0,37.870088,-122.278815,0,2387,1.067,3.925,4,2
1617 Carleton St,0,0,37.860102,-122.277419,0,2114,1.284,4.15,4,2
1618 Milvia,0,3,37.877043,-122.27178,0,1065,0.754,4,3,0
1618 Milvia St,0,0,37.8774,-122.271675,0,2415,0.761,4.025,4,0
1619 Fairview St,0,0,37.850351,-122.275372,0,2994,1.734,3.95,5,0
1619 Grant St,0,0,37.876857,-122.275556,0,1523,0.938,4.1,6,0
1619 Hopkins St,0,0,37.882431,-122.281057,0,1940,1.378,4.175,0,1
1619 Josephine St,0,0,37.877111,-122.274438,0,2493,0.888,4.05,3,0
1619 Walnut St,0,0,37.877888,-122.267573,0,1294,0.596,4.1,6,0
1620 Blake St,0,0,37.861505,-122.277419,0,1630,1.224,4.125,3,2
1620 Harmon St,0,0,37.848929,-122.274997,0,700,1.81,4,5,0
1620 Milvia St,0,0,37.877302,-122.27166,0,1675,0.757,4.1,5,0
1621 Blake St,0,0,37.862002,-122.277667,0,1561,1.215,4.1,3,2
1621 Blake Street,0,1,37.861687,-122.278451,0,1695,1.262,4.125,4,2
1622 Milvia,0,2,37.877002,-122.27178,0,1347,0.753,4.05,4,0
1622 Milvia St,0,0,37.877198,-122.271652,0,1928,0.753,4.175,6,0
1622 Parker St,0,0,37.860619,-122.277236,0,1500,1.253,4.125,3,2
1622 Parker St,1,2,37.860778,-122.277445,790,1200,1.255,4.125,3,2
1622 Woolsey St,0,0,37.85074,-122.275276,0,1585,1.708,3.95,4,0
1623 Alcatraz Ave,0,0,37.848591,-122.274679,0,2007,1.823,4,5,0
1623 Ashby Ave,0,2,37.853716,-122.276696,0,1150,1.58,4,5,0
1623 Francisco St,0,0,37.874649,-122.27907,0,1950,1.086,4,4,0
1623 Grant St,0,0,37.876747,-122.275542,0,1193,0.935,4.175,6,0
1624 Josephine St,0,0,37.8767,-122.274877,0,2800,0.9,4.05,3,0
1624 Milvia St,0,0,37.877088,-122.27164,0,2288,0.749,4.025,3,0
1624 Woolsey St,0,0,37.850763,-122.275104,0,863,1.702,4,3,0
1625 Ashby Ave,0,1,37.853724,-122.276643,0,2100,1.578,4,5,0
1625 Blake St,0,0,37.86203,-122.277517,0,1560,1.207,4.1,3,2
1625 Fairview St,0,0,37.850229,-122.275052,0,1685,1.733,3.95,5,0
1625 Grant St,0,0,37.876724,-122.275716,0,1193,0.944,4.075,5,0
1625 Prince St,0,0,37.852165,-122.275573,0,1898,1.633,3.975,4,0
1625 Woolsey St,0,0,37.85129,-122.275207,0,2495,1.674,3.95,4,0
1626 Bonita Ave,0,0,37.876905,-122.27276,0,1995,0.798,4.05,3,0
1626 Cornell Ave,0,0,37.874739,-122.291464,0,3500,1.759,4,4,0
1626 Dwight Way,0,0,37.862377,-122.277696,0,1150,1.201,4.1,3,2
1626 Fairview St,0,0,37.850006,-122.274987,0,1889,1.744,3.95,5,0
1626 Francisco St,0,0,37.874121,-122.278915,0,2233,1.072,4.075,2,1
1627 Fairview St,0,0,37.850394,-122.275029,0,1685,1.722,3.95,4,0
1627 Grant St,0,0,37.876636,-122.275531,0,1989,0.932,4.15,6,0
1627 University Avenue,1,1,37.870566,-122.279692,540,2484,1.111,3.9,1,1
1627 Woolsey St,0,0,37.851314,-122.275024,0,2399,1.667,4,3,0
1628 Alcatraz Ave,0,0,37.848082,-122.274409,0,1421,1.847,4,5,0
1628 Ashby Ave,0,0,37.853459,-122.275555,0,1370,1.558,4,4,0
1628 Fairview St,0,0,37.84986,-122.274919,0,1889,1.751,3.975,4,0
1628 Julia St,0,0,37.854341,-122.275819,0,2030,1.517,4,4,0
1628 Spruce St,0,0,37.877724,-122.265952,0,743,0.525,4.05,3,0
1628 Woolsey St,0,0,37.850784,-122.274933,0,3800,1.696,4,3,0
1629 Julia St,0,0,37.854819,-122.275898,0,2335,1.493,4.05,3,0
1629 Martin Luther King Jr Way,0,2,37.877055,-122.273476,0,1375,0.838,4.15,6,0
1629 Russell St,0,0,37.855756,-122.275566,0,894,1.43,4.075,3,0
1629 Stuart St,0,0,37.857591,-122.276467,0,2436,1.366,4.125,4,1
1629 Walnut St,0,0,37.877476,-122.267526,0,2375,0.575,4,1,2
1630 62nd St,0,0,37.846278,-122.27401,0,1802,1.951,4.05,4,0
1630 Russell St,0,0,37.855193,-122.275791,0,1410,1.469,4.05,3,0
1630 University Ave,1,1,37.870587,-122.27943,400,1595,1.096,3.9,1,1
1630 Woolsey St,0,0,37.850807,-122.274762,0,1573,1.69,4,3,0
1631 Alcatraz Ave,0,0,37.848616,-122.274504,0,1950,1.817,3.975,5,0
1631 Bancroft Way,0,0,37.866434,-122.277899,0,1400,1.081,3.95,0,0
1631 La Vereda Rd,0,0,37.879015,-122.256129,0,964,0.51,4.025,3,0
1631 Stuart St,0,0,37.857609,-122.276322,0,2233,1.36,4.125,4,1
1631 Walnut St,0,0,37.877341,-122.26751,0,1596,0.569,4,3,0
1632 Francisco St,0,0,37.874143,-122.278744,0,2421,1.063,4.075,2,1
1632 Francisco St,0,2,37.874323,-122.279694,0,1200,1.116,3.875,3,1
1632 Oregon St,0,0,37.856206,-122.275898,0,1416,1.417,4.05,3,1
1632 Prince St,0,0,37.851705,-122.274908,0,1314,1.641,3.975,4,0
1632 University Ave,0,0,37.870455,-122.278998,0,1985,1.074,3.975,4,2
1632 Woolsey St,0,0,37.850829,-122.274611,0,2050,1.685,4,3,0
1634 Julia St,0,0,37.854373,-122.275556,0,1488,1.506,4,4,0
1634 Milvia St,0,0,37.876967,-122.271624,0,3100,0.744,4.025,4,0
1634 Oxford St,0,0,37.878063,-122.267121,0,2514,0.586,4.15,7,0
1635 Francisco St,0,0,37.874722,-122.27852,0,1928,1.057,4,2,2
1635 Julia St,0,0,37.854895,-122.275561,0,1546,1.477,4.05,3,0
1635 MLK Jr Way,0,0,37.876622,-122.273215,0,2403,0.813,4.05,3,0
1638 8th St,0,0,37.873113,-122.297378,0,2011,2.074,4,4,0
1638 Hearst Ave,0,0,37.872295,-122.278993,0,1980,1.067,3.975,1,1
1638 Woolsey St,0,0,37.851001,-122.274448,0,1400,1.67,4.025,3,0
1639 Julia St,0,0,37.854924,-122.275353,0,1625,1.469,4,4,0
1639 San Pablo Ave,0,0,37.873829,-122.293281,0,1523,1.852,4,4,0
1640 Ashby Ave,0,0,37.853494,-122.275294,0,2424,1.548,4,4,0
1640 Euclid Ave,0,0,37.878792,-122.261089,0,1744,0.47,4.1,6,0
1640 Julia St,0,0,37.85442,-122.275185,0,1269,1.492,4,4,0
1640 Scenic Ave,0,0,37.878549,-122.263105,0,3880,0.487,4.1,6,0
1641 Walnut St,0,0,37.877138,-122.267491,0,2200,0.559,4.15,6,0
1642 Harmon St,0,0,37.849176,-122.274055,0,2120,1.771,4,4,0
1642 Russell St,0,0,37.855255,-122.275349,0,1218,1.451,4,4,0
1643 62nd St,0,0,37.846787,-122.273625,0,1421,1.91,4.05,4,0
1643 Prince St,0,0,37.852285,-122.274689,0,1345,1.6,3.975,3,0
1644 Oxford St,1,1,37.877817,-122.267235,640,2100,0.579,4.1,6,0
1644 Oxford St,0,0,37.877924,-122.26711,0,2444,0.579,4.15,6,0
1645 62nd St,0,0,37.846866,-122.27365,0,1421,1.906,4.05,4,0
1648 Russell St,0,0,37.85531,-122.274991,0,1200,1.436,4.025,3,0
1649 MLK Jr Way,0,0,37.87626,-122.273341,0,2395,0.811,4,3,0
165 Marina Lakes Drive,1,2,37.9265,-122.3342,847,1150,5.546,3.575,1,1
1650 Oxford St,0,0,37.877786,-122.26709,0,1411,0.572,4.15,6,0
1654 Dwight Way,0,0,37.862395,-122.277448,0,1218,1.189,4.1,3,2
1661 Tyler St,0,0,37.853103,-122.274474,0,863,1.546,3.975,3,0
1662 Dwight Way,0,0,37.86246,-122.27731,0,2252,1.181,4.1,3,2
1667 Hopkins Street,0,2,37.882677,-122.280176,0,1550,1.346,4.025,4,0
1669 Oxford St,0,0,37.877486,-122.266386,0,1822,0.53,3.95,5,1
1671 Arch St,0,0,37.87794,-122.264007,0,1973,0.473,4.15,7,0
1672 Oxford,0,1,37.877303,-122.267207,0,1675,0.554,3.95,5,1
1675 Euclid Ave,0,0,37.878254,-122.260468,0,1384,0.428,4.15,7,0
1677 11th Street,0,1,37.810463,-122.298008,770,1350,4.745,4.125,2,2
1682 Scenic Ave,0,0,37.877754,-122.262934,0,1568,0.433,4.15,6,0
1684 Scenic Ave,0,0,37.877755,-122.262865,0,1568,0.432,4.05,4,0
1685 Euclid Ave,0,0,37.878108,-122.2605,0,1875,0.418,4.15,6,0
1694 Oxford St,0,0,37.876899,-122.266855,0,2030,0.522,4.05,4,0
1700 Spruce St,0,0,37.876819,-122.26584,0,1941,0.476,4.15,6,0
1700 Walnut St,0,0,37.87658,-122.268015,0,3299,0.56,4.15,6,0
1701 Allston Way,0,0,37.868432,-122.277011,0,1359,0.992,4.1,0,0
1704 63rd at King,1,2,37.847494,-122.272901,750,1197,1.849,4.025,3,0
1704 63rd at King,1,2,37.847697,-122.273176,750,1197,1.843,4.025,4,0
1704 Derby Street,1,1,37.859242,-122.275994,900,2300,1.266,4.15,4,2
1706 Francisco St,0,0,37.874315,-122.277393,0,2741,0.992,3.975,3,1
1708 Dwight Way,0,0,37.862587,-122.276006,0,1411,1.117,4.05,3,2
1708 Milvia St,0,0,37.875881,-122.271375,0,2493,0.701,4.175,6,0
1709 Dwight Way,0,0,37.863033,-122.276248,0,3670,1.11,4.05,3,2
1709 Shattuck Ave,1,1,37.876125,-122.26938,650,2400,0.609,4,4,0
1709 Shattuck Ave,0,0,37.876152,-122.26846,0,2440,0.565,4.15,6,0
1709 University Ave,0,0,37.871357,-122.277403,0,1016,0.982,3.9,1,1
1710 Delaware St,0,0,37.873308,-122.277231,0,1950,0.975,4,4,0
1710 MLK Jr Way,0,0,37.875532,-122.273716,0,1600,0.814,4,4,0
1711 MLK Jr Way,0,0,37.875542,-122.273117,0,2025,0.783,4,4,0
1711 Parker St,0,0,37.861371,-122.275625,0,2842,1.152,4.125,3,1
1712 Dwight Way,0,0,37.862603,-122.275871,0,1320,1.111,4.05,3,2
1713 Dwight Way,0,0,37.8631,-122.27612,0,2312,1.102,4.05,3,2
1715 Spruce St,0,0,37.876829,-122.265142,0,3749,0.45,4.075,5,0
1716 Derby St,0,0,37.859103,-122.274846,0,1726,1.229,4.15,4,1
1716 Francisco St,0,0,37.874388,-122.276877,0,1979,0.965,3.9,3,1
1716 University Ave,0,0,37.870904,-122.277061,0,1376,0.965,3.95,5,2
1717 Blake St,0,0,37.862288,-122.275527,0,2311,1.109,4.075,3,1
1717 Euclid Ave,0,0,37.877541,-122.260341,0,1800,0.378,4.025,3,0
1717 MLK Jr Way,0,0,37.875338,-122.273192,0,3400,0.783,4.2,6,0
1717 Oxford St,0,0,37.876582,-122.266276,0,1858,0.484,4.075,5,0
1717 Ward St,0,0,37.858728,-122.274805,0,1945,1.247,4.15,4,1
1718 Bancroft Way,0,0,37.866371,-122.276169,0,1548,0.995,4.125,1,2
1719 Carleton St,0,0,37.860538,-122.275036,0,1218,1.167,4.1,3,1
1720 Spruce St,0,0,37.876671,-122.265804,0,2450,0.468,4.075,5,0
1720 Spruce Street,0,1,37.876378,-122.265515,0,3100,0.443,4.175,6,0
1721 9th St,0,0,37.872269,-122.295232,0,1624,1.955,4,3,0
1722 Hearst Ave,0,0,37.872592,-122.276636,0,2245,0.939,4,3,0
1722 Walnut St,0,0,37.876232,-122.268051,0,2686,0.549,4,4,0
1722 Walnut St,1,1,37.876243,-122.268158,800,2750,0.554,4,3,0
1724 Derby St,0,0,37.859144,-122.274527,0,1365,1.215,4.125,4,1
1725 Oxford St,0,0,37.87633,-122.266247,0,1194,0.471,4.15,6,0
1725 Shattuck Ave,0,0,37.875594,-122.268396,0,1880,0.544,4.1,6,0
1726 10th St,0,0,37.872214,-122.294717,0,1735,1.927,4.075,3,1
1727 Alcatraz Ave,0,0,37.84867,-122.272904,0,2312,1.775,4.025,3,0
1727 Delaware St,0,0,37.874024,-122.276731,0,2475,0.953,4,4,0
1728 7th St,0,0,37.871409,-122.297976,0,1694,2.106,4,2,1
1728 Berkeley Way,0,0,37.871799,-122.276209,0,1662,0.915,3.975,2,1
1728 Curtis St,0,0,37.872821,-122.290169,0,2150,1.679,4,4,0
1728 Parker St,0,0,37.860945,-122.274817,0,3500,1.139,4.125,3,1
1728 Walnut St,0,0,37.876108,-122.268032,0,2700,0.543,4.1,6,0
1730 Alcatraz Ave,0,0,37.848228,-122.272607,0,2065,1.797,4.075,3,0
1730 Buena Ave,0,0,37.879472,-122.27805,0,1600,1.136,4.075,3,1
1730 Spruce St,0,0,37.876487,-122.265771,0,2258,0.458,4.025,3,0
1730 Stuart St,0,0,37.857384,-122.273924,0,2220,1.287,4.1,4,0
1730 Stuart St.,0,2,37.857618,-122.275176,0,1300,1.317,4.1,4,1
1730 Stuart Street,1,2,37.857507,-122.274184,900,1250,1.289,4.075,4,0
1731 10th St,0,0,37.872182,-122.294019,0,2570,1.889,4,3,1
1731 Delaware St,0,0,37.874042,-122.276584,0,2436,0.945,3.975,3,0
1732 9th St,0,0,37.871715,-122.295772,0,2350,1.985,3.95,1,1
1732 San Pablo Ave,0,0,37.872108,-122.293464,0,1105,1.858,3.975,3,2
1733 Bancroft Way,0,0,37.866798,-122.275594,0,2690,0.955,4.1,1,2
1733 Grant St,0,0,37.874496,-122.275311,0,1926,0.882,4.125,5,0
1734 Alcatraz Ave,0,0,37.848322,-122.272475,0,2065,1.788,4.025,3,0
1734 Blake St,0,0,37.861739,-122.274745,0,1797,1.099,4.125,3,1
1734 Spruce St,0,0,37.8763,-122.265755,0,1139,0.449,4.2,6,0
1735 6th St,0,0,37.871109,-122.298307,0,2436,2.124,3.975,2,2
1735 Highland Pl,0,0,37.876836,-122.255771,0,2042,0.384,4.15,6,0
1735 Vine St,0,0,37.879341,-122.277735,0,2630,1.116,4.1,6,0
1736 Alcatraz Ave,0,0,37.848423,-122.272452,0,2065,1.781,4.025,3,0
1736 Parker St,0,0,37.860927,-122.274364,0,1800,1.121,4.125,3,1
1736 Stuart St,0,0,37.857413,-122.273716,0,1802,1.278,4.1,4,0
1737 Virginia St,0,0,37.87594,-122.276405,0,2180,0.963,4.175,6,0
1738 4th Ave,0,1,37.799198,-122.25217,0,1725,5.044,4.1,6,0
1738 Buena Ave,0,0,37.879536,-122.277906,0,1600,1.131,4.05,3,0
1738 Spruce St,0,0,37.876164,-122.265768,0,3444,0.444,4,4,0
1738 Spruce Street,0,1,37.876568,-122.265799,0,1400,0.463,4.025,3,0
1739 Addison St,0,0,37.87054,-122.275715,0,2146,0.895,3.95,2,2
1739 Francisco St,0,0,37.875031,-122.276094,0,1354,0.931,3.975,3,0
1739 Lincoln St,0,0,37.876908,-122.276451,0,2197,0.986,3.95,5,1
1739 Oxford St,0,0,37.87612,-122.266234,0,1320,0.462,4,4,0
1740 Buena Ave,0,0,37.879598,-122.277774,0,1600,1.126,4.15,5,0
1741 MLK Jr Way,0,0,37.874627,-122.273014,0,1100,0.761,4,4,0
1741 Parker St,0,0,37.861449,-122.274292,0,1922,1.094,4.1,3,1
1742 Blake St,0,0,37.861885,-122.274418,0,2095,1.079,4.075,3,1
1742 Cedar St,0,0,37.877313,-122.276217,0,1573,0.983,4.15,6,0
1742 MLK Jr Way,0,0,37.874443,-122.273557,0,2200,0.787,3.975,3,0
1742 Spruce St,0,0,37.876047,-122.265655,0,2071,0.434,4.15,6,0
1743 Berkeley Way,0,0,37.872421,-122.27566,0,1305,0.885,3.975,3,2
1743 Delaware St,0,0,37.874046,-122.276185,0,2270,0.924,4.025,4,0
1749 Oxford St,0,0,37.875968,-122.26622,0,1826,0.455,4.175,6,0
1750 Walnut St,0,0,37.875699,-122.267989,0,2335,0.528,3.975,1,3
1757 Oxford St,0,0,37.875832,-122.266217,0,1721,0.45,4.175,6,0
1759 Berkeley Way,0,0,37.872287,-122.275579,0,1305,0.881,3.9,1,1
1760 Walnut St,0,0,37.875555,-122.267971,0,1823,0.522,4.075,6,0
1765 Oxford St,0,0,37.87576,-122.26607,0,1782,0.44,4.175,6,0
1770 La Loma Ave,0,0,37.876627,-122.257207,0,406,0.336,4.1,6,0
1771 Highland Pl,0,0,37.876602,-122.25547,0,2162,0.379,4.15,6,0
1773 Oxford St,0,0,37.875563,-122.266205,0,2875,0.439,4.075,5,0
1783 Spruce St,0,0,37.875476,-122.265276,0,2360,0.393,4.125,5,0
1785 Spruce St,0,0,37.875504,-122.264937,0,2030,0.38,4,4,0
1786 Spruce St,0,0,37.875335,-122.265786,0,2320,0.411,4,4,0
1786 Spruce St.,0,1,37.875582,-122.265794,0,2195,0.421,4,4,0
1786 Spruce St.,0,1,37.875865,-122.265823,0,2595,0.433,4.175,6,0
1793 Oxford St,0,0,37.87517,-122.266155,0,2614,0.422,4.15,5,0
1793 Spruce St,0,0,37.875387,-122.26481,0,2284,0.369,4.175,6,0
1795 Spruce St,0,0,37.875296,-122.264793,0,2284,0.365,4.125,5,0
1797 shattuck,1,2,37.87526,-122.268459,668,1742,0.537,4.1,5,0
1797 Shattuck Ave,1,2,37.874846,-122.269088,668,1742,0.559,4.15,5,0
1797 Spruce St,0,0,37.8752,-122.26479,0,2284,0.361,4.2,6,0
1798 Walnut St,0,0,37.875114,-122.267804,0,2050,0.501,4.15,5,0
1799 Euclid Ave,0,0,37.876309,-122.260062,0,1677,0.292,4.15,6,0
1799 Spruce St,0,0,37.875096,-122.264774,0,2284,0.356,4.15,5,0
"17th street, at Broadway",0,1,37.971123,-122.347882,0,1498,8.365,3.8,0,0
1800 Spruce,1,1,37.87566,-122.265831,675,2595,0.425,4,3,0
1800 Spruce St,0,0,37.875026,-122.265749,0,2695,0.398,4,3,0
1801 Rose St,0,0,37.881368,-122.276183,0,1726,1.115,4.075,4,0
1804 62nd St,0,0,37.846844,-122.270803,0,1865,1.849,4.125,4,0
1805 Dwight Way,0,0,37.863329,-122.274014,0,1200,0.999,4.025,2,2
1806 Bonita Ave,0,0,37.873986,-122.272471,0,1700,0.723,4,4,0
1806 Walnut St,0,0,37.874749,-122.267854,0,1785,0.493,3.975,3,0
1806 West St,0,0,37.872059,-122.28693,0,1710,1.501,3.95,3,2
1807 Addison St,0,0,37.870607,-122.274824,0,3625,0.846,3.975,1,2
1808 Addison St,0,0,37.870085,-122.274638,0,1421,0.841,3.925,4,2
1808 Prince St,0,0,37.852249,-122.272332,0,1700,1.539,4.025,3,0
1809 Blake St,0,0,37.862532,-122.273609,0,1909,1.017,4.05,2,2
1809 Oregon St,0,0,37.857198,-122.27246,0,2750,1.25,4.075,4,0
1809 Spruce St,0,0,37.874921,-122.264839,0,2284,0.352,4.1,5,0
1810 9th St,0,0,37.870759,-122.295435,0,1218,1.968,3.925,1,2
1810 Berkeley Way,0,0,37.871982,-122.274688,0,1560,0.832,4,3,1
1810 Bonita Ave,0,0,37.873846,-122.272456,0,2501,0.72,3.95,2,2
1810 E 25th st at wallace st,0,1,37.795157,-122.234242,0,1495,5.483,4.2,3,0
1810 West St,0,0,37.871929,-122.287098,0,1710,1.511,4,3,1
1811 Addison St,0,0,37.870628,-122.274655,0,1950,0.836,3.975,1,2
