bedrooms,bathrooms,sqft,distance_to_campus,num_images,unique_words,price
nan,nan,1250.0,1.6401006970202063,9.0,112.0,4295.0
nan,nan,958.0,0.80995039828035609,13.0,132.0,4150.0
nan,nan,850.0,6.3118993342699472,16.0,232.0,1690.0
nan,nan,1250.0,1.7768756180389331,9.0,55.0,4295.0
nan,nan,787.0,2.0540421982423105,10.0,62.0,2925.0
nan,nan,716.0,2.0540421982423105,9.0,135.0,2825.0
nan,nan,787.0,2.0540421982423105,8.0,119.0,2925.0
nan,nan,787.0,2.0540421982423105,10.0,62.0,2925.0
nan,nan,787.0,2.0540421982423105,10.0,62.0,2925.0
nan,nan,868.0,2.0352743581036732,8.0,231.0,2825.0
nan,nan,868.0,2.0540421982423105,9.0,233.0,2825.0
nan,nan,716.0,1.4713519024387147,9.0,136.0,2825.0
nan,nan,868.0,2.0540421982423105,8.0,119.0,2825.0
nan,nan,787.0,2.0352743581036732,8.0,231.0,2875.0
nan,nan,709.0,2.0352743581036732,8.0,126.0,2900.0
nan,nan,716.0,2.0352743581036732,6.0,247.0,2825.0
nan,nan,nan,0.33435805812963681,5.0,106.0,1995.0
nan,nan,716.0,2.0352743581036732,7.0,139.0,2825.0
nan,nan,709.0,2.0352743581036732,11.0,141.0,2900.0
nan,nan,nan,2.124622887266669,7.0,66.0,2185.0
nan,nan,709.0,2.0352743581036732,11.0,128.0,2900.0
nan,nan,nan,1.7842166514329707,11.0,126.0,1990.0
nan,nan,nan,1.051684491896151,18.0,21.0,2695.0
nan,nan,709.0,2.0352743581036732,8.0,231.0,2825.0
nan,nan,300.0,0.91748917021788057,0.0,94.0,1300.0
nan,nan,nan,0.73284009824676388,24.0,19.0,3595.0
nan,nan,nan,0.49889524448916373,8.0,233.0,2895.0
nan,nan,nan,1.051684491896151,15.0,21.0,2695.0
nan,nan,590.0,0.50909668965921662,11.0,243.0,2895.0
nan,nan,nan,0.41599455153641235,24.0,255.0,3843.0
nan,nan,200.0,1.0568135546525925,7.0,116.0,1550.0
nan,nan,nan,0.30213896537439416,9.0,136.0,3400.0
nan,nan,nan,0.50352364309487008,10.0,200.0,3800.0
nan,nan,nan,0.49610501524400691,9.0,253.0,1800.0
nan,nan,nan,1.1508538282672003,6.0,234.0,2995.0
nan,nan,nan,1.1308961995454883,7.0,274.0,2195.0
nan,nan,650.0,0.58086844946875049,2.0,206.0,2550.0
nan,nan,nan,4.1400839489488144,14.0,37.0,2250.0
nan,nan,nan,1.8635966915426228,4.0,61.0,2250.0
nan,nan,nan,0.42944065137251097,5.0,216.0,1650.0
nan,nan,nan,1.4994584228849184,8.0,33.0,1950.0
nan,nan,nan,6.8632289616114699,9.0,39.0,1650.0
nan,nan,nan,6.8688292413173277,8.0,39.0,1675.0
nan,nan,787.0,2.0352743581036732,10.0,128.0,2825.0
nan,nan,nan,7.9105310166063818,9.0,39.0,1895.0
