bedrooms,sqft,price per room,sqft/room
1,500,1795,500.0
1,500,1795,500.0
1,500,1795,500.0
1,500,1800,500.0
1,500,1900,500.0
1,500,1945,500.0
1,490,1600,490.0
1,450,1495,450.0
1,450,1700,450.0
1,450,2100,450.0
1,432,2100,432.0
1,420,1500,420.0
1,408,1250,408.0
1,400,1450,400.0
1,400,1500,400.0
1,400,1550,400.0
1,400,1550,400.0
1,400,1595,400.0
1,400,1650,400.0
1,400,1675,400.0
1,400,1850,400.0
1,400,2000,400.0
1,400,2350,400.0
1,386,1250,386.0
1,374,1595,374.0
1,350,1600,350.0
1,330,1795,330.0
1,300,1850,300.0
1,300,850,300.0
1,250,900,250.0
1,230,1375,230.0
1,225,1295,225.0
1,220,1050,220.0
1,200,870,200.0
1,200,1250,200.0
1,160,1300,160.0
1,153,1295,153.0
