,Unnamed: 0,address,bathrooms,bedrooms,latitude,longitude,sqft,price per room,distance,avg_rating,#cafes,#pubs,edge_distance
34,34,"1002, Allston Way, Poets Corner, Berkeley, Alameda County, California, 94710, United States of America",0,0,37.86576,-122.293245,0,2200,1.898,4.125,1,2,2.45079369044
35,35,1008 Grayson St,0,0,37.855631,-122.289735,0,1200,2.007,4.075,4,1,2.68650001925
36,36,101 Fairmount Ave,0,2,37.816073,-122.260451,0,1172,3.865,4.125,3,1,5.85953554915
37,37,101 Fairmount Ave,0,2,37.816361,-122.260494,0,1147,3.845,4.1,4,1,5.82758598287
38,38,101 Fairmount Ave,0,2,37.818531,-122.259722,0,1200,3.695,4.15,2,1,5.58522263031
39,39,"1011 62nd street, B",1,2,37.845681,-122.280707,700,1097,2.161,4.0,6,1,3.09333266964
40,40,1014 Hearst Ave,0,0,37.869919,-122.294059,0,2520,1.897,3.975,4,2,2.45482311265
41,41,1015 Euclid Ave,0,0,37.891353,-122.264564,0,1167,1.356,3.95,3,0,1.85389404216
42,42,1027 62nd St. at San Pablo Ave. and Sacramentl St.,2,2,37.845805,-122.280896,1340,1800,2.159,4.0,5,1,3.08771251365
43,43,1034 Virginia St,0,0,37.873062,-122.294011,0,2200,1.89,4.025,4,0,2.4583240453
44,44,1035 Euclid Ave,0,0,37.891126,-122.263995,0,2620,1.335,3.975,0,2,1.82246561828
45,45,1039 57th St at Gaskill St.,1,2,37.840909,-122.280442,1000,1125,2.438,4.025,5,1,3.57505488534
46,46,1039 Channing Way,0,0,37.862902,-122.290712,0,1750,1.822,4.05,4,2,2.33854417612
47,47,1054 67th Street,750,1,37.850033,-122.285291,750,2250,2.076,4.05,6,0,2.87555801071
48,48,1080 Delaware,0,1,37.871477,-122.293548,0,2300,1.864,4.0,2,1,2.40756519755
49,49,10th Street at Pardee Street,1,1,37.856508,-122.289462,450,2100,1.961,4.1,4,1,2.60661748407
50,50,11 Captains Cove,0,3,37.855834,-122.227308,2464,1500,2.086,4.15,1,0,3.03497745212
51,51,1106 Oxford St,0,0,37.888634,-122.268172,0,2538,1.235,3.95,3,1,1.63806461098
52,52,1108 Euclid Ave,0,0,37.889068,-122.262759,0,2030,1.184,4.075,1,0,1.58466805891
53,53,1108 Francisco St,0,0,37.87243,-122.292493,0,1249,1.806,3.95,3,2,2.31979183893
54,54,1110 Carleton St,1,2,37.858557,-122.288796,875,1625,1.856,4.125,5,1,2.42391824303
55,55,1110 Francisco St,0,0,37.872603,-122.292505,0,1249,1.806,4.0,4,1,2.32223786043
56,56,1111 Allston Way,0,0,37.866733,-122.290592,0,1806,1.741,4.075,0,0,2.19934137448
57,57,1112 Allston Way,0,0,37.866258,-122.29048,0,2132,1.743,3.925,1,0,2.20180316975
58,58,1112 Harrison St,0,0,37.882269,-122.295585,0,2000,2.095,4.05,4,0,2.87340306293
59,59,1114 Francisco St,0,0,37.872444,-122.292326,0,1461,1.796,3.95,1,1,2.30527155174
60,60,1116 Dwight Way,0,0,37.860966,-122.288542,0,1750,1.765,4.05,6,1,2.26209803155
61,61,1118 Delaware St,0,0,37.871366,-122.292067,0,1560,1.783,3.9,3,2,2.27731286661
62,62,1120 Hearst Ave,0,0,37.8703,-122.291736,0,1093,1.768,3.95,4,2,2.24925391201
63,63,1121 40th ST at Adeline Street,1,1,37.830667,-122.278862,625,2400,3.048,4.1,4,0,4.57640975723
64,64,1122 Univeristy,0,2,37.868993,-122.291222,1100,1560,1.749,3.925,1,0,2.21408126082
65,65,1122 Univeristy,0,2,37.869128,-122.291222,1100,1560,1.748,3.95,5,2,2.21261538947
66,66,1122 Univeristy ave,0,2,37.869094,-122.291608,1100,1560,1.769,3.9,2,1,2.24671324996
67,67,1122 University ave,1,2,37.869116,-122.291751,610,1350,1.777,3.95,5,2,2.25898458119
68,68,1124 Dwight Way,0,0,37.861005,-122.288249,0,1243,1.75,4.1,6,1,2.23759709016
69,69,1127 Hopkins St,0,0,37.876,-122.293046,0,1857,1.855,4.15,6,0,2.42738546229
70,70,1128 Bancroft Way,0,0,37.864467,-122.289279,0,2148,1.713,3.95,3,2,2.15827474406
